id;pikk_mudel;kytus;kaigukast;alates;kuni
38929;"Rekord 1.9 N";B;H4;1977;1982
38933;"Rekord 1.9 N De Luxe";B;H4;1977;1982
38936;"Rekord 2.0 N";B;H4;1977;1982
38936;"Rekord 2.0 N";B;H4;1977;1982
38937;"Rekord 2.0 N Sport";B;H4;1977;1982
38943;"Rekord 2.0 N De Luxe Sport";B;H4;1977;1982
38944;"Rekord 2.0 N Berlina";B;H4;1977;1982
38944;"Rekord 2.0 N Berlina";B;H4;1977;1982
38953;"Rekord 2.0 S";B;H4;1977;1982
38954;"Rekord 2.0 S De Luxe";B;H4;1977;1982
38955;"Rekord 2.0 S Sport";B;H4;1977;1982
38955;"Rekord 2.0 S Sport";B;H4;1977;1982
38956;"Rekord 2.0 S De Luxe Sport";B;H4;1977;1982
38957;"Rekord 2.0 S Berlina";B;H4;1977;1982
38965;"Rekord 2.0 E De Luxe";B;H4;1977;1982
38965;"Rekord 2.0 E De Luxe";B;H4;1977;1982
38966;"Rekord 2.0 E Sport";B;H4;1977;1982
38967;"Rekord 2.0 E De Luxe Sport";B;H4;1977;1982
38968;"Rekord 2.0 E Berlina";B;H4;1977;1982
38968;"Rekord 2.0 E Berlina";B;H4;1977;1982
38974;"Rekord 2.3 D";D;H4;1978;1982
38975;"Rekord 2.3 D De Luxe";D;H4;1978;1982
38976;"Rekord 2.3 D Berlina";D;H4;1978;1982
38976;"Rekord 2.3 D Berlina";D;H4;1978;1982
