id;pikk_mudel;kytus;kaigukast;alates;kuni
26546;"Vectra GTS 1.8-16V";B;H5;2002;2005
26548;"Vectra GTS 1.8-16V Elegance";B;H5;2002;2005
26552;"Vectra GTS 2.2-16V";B;H5;2002;2004
26552;"Vectra GTS 2.2-16V";B;H5;2002;2004
26551;"Vectra GTS 2.2-16V";B;A5;2002;2004
26550;"Vectra GTS 2.2-16V Elegance";B;H5;2002;2004
26549;"Vectra GTS 2.2-16V Elegance";B;A5;2002;2004
26549;"Vectra GTS 2.2-16V Elegance";B;A5;2002;2004
31815;"Vectra GTS 2.2-16V DGi";B;H5;2004;2005
31814;"Vectra GTS 2.2-16V DGi";B;A5;2004;2005
31813;"Vectra GTS 2.2-16V DGi Elegance";B;H5;2004;2005
31813;"Vectra GTS 2.2-16V DGi Elegance";B;H5;2004;2005
31812;"Vectra GTS 2.2-16V DGi Elegance";B;A5;2004;2005
29831;"Vectra GTS 2.0 Turbo";B;H6;2003;2005
29829;"Vectra GTS 2.0 Turbo Elegance";B;H6;2003;2005
29829;"Vectra GTS 2.0 Turbo Elegance";B;H6;2003;2005
26563;"Vectra GTS 3.2-V6";B;H5;2002;2005
26562;"Vectra GTS 3.2-V6";B;A5;2002;2005
26561;"Vectra GTS 3.2-V6 Elegance";B;H5;2002;2005
26561;"Vectra GTS 3.2-V6 Elegance";B;H5;2002;2005
26560;"Vectra GTS 3.2-V6 Elegance";B;A5;2002;2005
26559;"Vectra GTS 2.2 DTi-16V";D;H5;2002;2004
26558;"Vectra GTS 2.2 DTi-16V";D;A5;2002;2004
26558;"Vectra GTS 2.2 DTi-16V";D;A5;2002;2004
26557;"Vectra GTS 2.2 DTi-16V Elegance";D;H5;2002;2004
26556;"Vectra GTS 2.2 DTi-16V Elegance";D;A5;2002;2004
33572;"Vectra GTS 1.9 CDTi 120pk";D;H6;2004;2005
33572;"Vectra GTS 1.9 CDTi 120pk";D;H6;2004;2005
33573;"Vectra GTS 1.9 CDTi 120pk Elegance";D;H6;2004;2005
31825;"Vectra GTS 1.9 CDTi 150pk";D;H6;2004;2005
33574;"Vectra GTS 1.9 CDTi 150pk";D;A6;2004;2005
33574;"Vectra GTS 1.9 CDTi 150pk";D;A6;2004;2005
31824;"Vectra GTS 1.9 CDTi 150pk Elegance";D;H6;2004;2005
33575;"Vectra GTS 1.9 CDTi 150pk Elegance";D;A6;2004;2005
31819;"Vectra GTS 3.0-V6 CDTi";D;H6;2004;2005
31819;"Vectra GTS 3.0-V6 CDTi";D;H6;2004;2005
31818;"Vectra GTS 3.0-V6 CDTi";D;A5;2004;2005
31817;"Vectra GTS 3.0-V6 CDTi Elegance";D;H6;2004;2005
31816;"Vectra GTS 3.0-V6 CDTi Elegance";D;A5;2004;2005
31816;"Vectra GTS 3.0-V6 CDTi Elegance";D;A5;2004;2005
