id;pikk_mudel;kytus;kaigukast;alates;kuni
66370;"Vivaro Combi L1H1 2700 2.0 CDTi 90 ecoFLEX";D;H6;2011;heden
66373;"Vivaro Combi L1H1 2700 2.0 CDTi 114 ecoFLEX";D;H6;2011;heden
66372;"Vivaro Combi L1H1 2700 2.0 CDTi 114 ecoFLEX";D;A6;2011;heden
66372;"Vivaro Combi L1H1 2700 2.0 CDTi 114 ecoFLEX";D;A6;2011;heden
66376;"Vivaro Combi L1H1 2900 2.0 CDTi 90 ecoFLEX";D;H6;2011;heden
66375;"Vivaro Combi L1H1 2900 2.0 CDTi 114 ecoFLEX";D;H6;2011;heden
66374;"Vivaro Combi L1H1 2900 2.0 CDTi 114 ecoFLEX";D;A6;2011;heden
66374;"Vivaro Combi L1H1 2900 2.0 CDTi 114 ecoFLEX";D;A6;2011;heden
66379;"Vivaro Combi L2H1 2900 2.0 CDTi 90 ecoFLEX";D;H6;2011;heden
66378;"Vivaro Combi L2H1 2900 2.0 CDTi 114 ecoFLEX";D;H6;2011;heden
66377;"Vivaro Combi L2H1 2900 2.0 CDTi 114 ecoFLEX";D;A6;2011;heden
66377;"Vivaro Combi L2H1 2900 2.0 CDTi 114 ecoFLEX";D;A6;2011;heden
66382;"Vivaro Tour Elegance L1H1 2700 2.0 CDTi 90 ecoFLEX";D;H6;2011;heden
66381;"Vivaro Tour Elegance L1H1 2700 2.0 CDTi 114 ecoFLE";D;H6;2011;heden
66380;"Vivaro Tour Elegance L1H1 2700 2.0 CDTi 114 ecoFLE";D;A6;2011;heden
66380;"Vivaro Tour Elegance L1H1 2700 2.0 CDTi 114 ecoFLE";D;A6;2011;heden
