id;pikk_mudel;kytus;kaigukast;alates;kuni
36270;"Zafira 1.6 Essentia";B;H5;2005;2008
36281;"Zafira 1.6 Enjoy";B;H5;2005;2007
44643;"Zafira 1.6 Temptation";B;H5;2007;2008
44643;"Zafira 1.6 Temptation";B;H5;2007;2008
36288;"Zafira 1.6 Cosmo";B;H5;2005;2008
44648;"Zafira 1.6 CNG Essentia";B;H5;2007;2008
44649;"Zafira 1.6 CNG Temptation";B;H5;2007;2008
44649;"Zafira 1.6 CNG Temptation";B;H5;2007;2008
44650;"Zafira 1.6 CNG Cosmo";B;H5;2007;2008
36273;"Zafira 1.8 Essentia";B;H5;2005;2008
38530;"Zafira 1.8 Essentia";B;A5;2005;2008
38530;"Zafira 1.8 Essentia";B;A5;2005;2008
36282;"Zafira 1.8 Enjoy";B;H5;2005;2007
38531;"Zafira 1.8 Enjoy";B;A5;2005;2007
44644;"Zafira 1.8 Temptation";B;H5;2007;2008
44644;"Zafira 1.8 Temptation";B;H5;2007;2008
44645;"Zafira 1.8 Temptation";B;A5;2007;2008
36289;"Zafira 1.8 Cosmo";B;H5;2005;2008
38532;"Zafira 1.8 Cosmo";B;A5;2005;2008
38532;"Zafira 1.8 Cosmo";B;A5;2005;2008
36274;"Zafira 2.2 Essentia";B;H6;2005;2007
36279;"Zafira 2.2 Essentia";B;A4;2005;2007
36284;"Zafira 2.2 Enjoy";B;H6;2005;2007
36284;"Zafira 2.2 Enjoy";B;H6;2005;2007
36283;"Zafira 2.2 Enjoy";B;A4;2005;2007
44646;"Zafira 2.2 Temptation";B;H6;2007;2008
44647;"Zafira 2.2 Temptation";B;A4;2007;2008
44647;"Zafira 2.2 Temptation";B;A4;2007;2008
36291;"Zafira 2.2 Cosmo";B;H6;2005;2008
36290;"Zafira 2.2 Cosmo";B;A4;2005;2008
36292;"Zafira 2.0 Turbo Cosmo";B;H6;2005;2007
36292;"Zafira 2.0 Turbo Cosmo";B;H6;2005;2007
38352;"Zafira OPC";B;H6;2005;2008
36276;"Zafira 1.9 CDTi 100pk Essentia";D;H6;2005;2008
36285;"Zafira 1.9 CDTi 100pk Enjoy";D;H6;2005;2007
36285;"Zafira 1.9 CDTi 100pk Enjoy";D;H6;2005;2007
36293;"Zafira 1.9 CDTi 100pk Cosmo";D;H6;2005;2008
36277;"Zafira 1.9 CDTi 120pk Essentia";D;H6;2005;2008
36278;"Zafira 1.9 CDTi 120pk Essentia";D;A6;2005;2008
36278;"Zafira 1.9 CDTi 120pk Essentia";D;A6;2005;2008
36287;"Zafira 1.9 CDTi 120pk Enjoy";D;H6;2005;2007
36286;"Zafira 1.9 CDTi 120pk Enjoy";D;A6;2005;2007
36295;"Zafira 1.9 CDTi 120pk Cosmo";D;H6;2005;2008
36295;"Zafira 1.9 CDTi 120pk Cosmo";D;H6;2005;2008
36294;"Zafira 1.9 CDTi 120pk Cosmo";D;A6;2005;2008
36280;"Zafira 1.9 CDTi 150pk Enjoy";D;H6;2005;2007
37210;"Zafira 1.9 CDTi 150pk Enjoy";D;A6;2005;2007
37210;"Zafira 1.9 CDTi 150pk Enjoy";D;A6;2005;2007
36296;"Zafira 1.9 CDTi 150pk Cosmo";D;H6;2005;2008
37211;"Zafira 1.9 CDTi 150pk Cosmo";D;A6;2005;2008
