id;pikk_mudel;kytus;kaigukast;alates;kuni
64542;"208 Access 1.0 VTi";B;H5;2012;2013
64567;"208 Active 1.0 VTi";B;H5;2012;2013
73148;"208 Access 1.0 VTi";B;H5;2013;heden
73148;"208 Access 1.0 VTi";B;H5;2013;heden
73150;"208 Blue Lease 1.0 VTi";B;H5;2013;2014
64548;"208 Access 1.2 VTi";B;H5;2012;heden
64569;"208 Active 1.2 VTi";B;H5;2012;heden
64569;"208 Active 1.2 VTi";B;H5;2012;heden
75452;"208 OXYGO 1.2 VTi";B;H5;2013;2014
74216;"208 Active 1.2 e-VTi";B;A5;2013;heden
75453;"208 OXYGO 1.2 e-VTi";B;A5;2013;2014
75453;"208 OXYGO 1.2 e-VTi";B;A5;2013;2014
72415;"208 Urbansoul 1.2 VTi";B;H5;2013;2013
71795;"208 Envy 1.2 VTi";B;H5;2013;heden
75546;"208 Envy 1.2 e-VTi";B;A5;2013;heden
75546;"208 Envy 1.2 e-VTi";B;A5;2013;heden
64581;"208 Blue Lease 1.2 VTi";B;H5;2012;heden
74217;"208 Blue Lease 1.2 e-VTi";B;A5;2013;heden
64573;"208 Allure 1.2 VTi";B;H5;2012;heden
64573;"208 Allure 1.2 VTi";B;H5;2012;heden
64582;"208 Blue Lease Executive 1.2 VTi";B;H5;2012;heden
74218;"208 Blue Lease Executive 1.2 e-VTi";B;H5;2013;heden
64550;"208 Access 1.4 VTi";B;H5;2012;2012
64550;"208 Access 1.4 VTi";B;H5;2012;2012
64571;"208 Active 1.4 VTi";B;H5;2012;2013
64575;"208 Allure 1.4 VTi";B;H5;2012;2012
69490;"208 Griffe 1.4 VTi";B;H5;2012;2012
69490;"208 Griffe 1.4 VTi";B;H5;2012;2012
64552;"208 Allure 1.6 VTi";B;H5;2012;2013
70995;"208 Allure 1.6 VTi";B;A4;2012;2013
73459;"208 Allure 1.6 VTi";B;H5;2013;heden
73459;"208 Allure 1.6 VTi";B;H5;2013;heden
73460;"208 Allure 1.6 VTi";B;A4;2013;heden
70996;"208 Intu&iuml;tive 1.6 VTi";B;H5;2013;2013
64555;"208 Access 1.4 HDi";D;H5;2012;2012
64555;"208 Access 1.4 HDi";D;H5;2012;2012
64578;"208 Active 1.4 HDi";D;H5;2012;2012
64557;"208 Access 1.4 e-HDi";D;A5;2012;heden
64579;"208 Active 1.4 e-HDi";D;A5;2012;heden
64579;"208 Active 1.4 e-HDi";D;A5;2012;heden
64580;"208 Blue Lease 1.4 e-HDi";D;A5;2012;2014
64559;"208 Active 1.6 e-HDi 92pk";D;H5;2012;2012
69896;"208 Active 1.6 e-HDi 92pk 91g";D;H5;2012;2012
69896;"208 Active 1.6 e-HDi 92pk 91g";D;H5;2012;2012
69961;"208 Active 1.6 e-HDi 92pk 90g";D;H5;2012;2013
69897;"208 Blue Lease 1.6 e-HDi 92pk 91g";D;H5;2012;2012
69962;"208 Blue Lease 1.6 e-HDi 92pk 90g";D;H5;2012;2013
69962;"208 Blue Lease 1.6 e-HDi 92pk 90g";D;H5;2012;2013
64563;"208 Allure 1.6 e-HDi 92pk";D;H5;2012;2013
64583;"208 Blue Lease Executive 1.6 e-HDi 92pk";D;H5;2012;2013
64565;"208 Allure 1.6 e-HDi 92pk";D;A6;2012;heden
64565;"208 Allure 1.6 e-HDi 92pk";D;A6;2012;heden
73461;"208 Active 1.6 e-HDi 92pk 88g";D;H5;2013;2013
73462;"208 Blue Lease 1.6 e-HDi 92pk 88g";D;H5;2013;2013
73463;"208 Allure 1.6 e-HDi 92pk 88g";D;H5;2013;2013
73463;"208 Allure 1.6 e-HDi 92pk 88g";D;H5;2013;2013
73464;"208 Blue Lease Executive 1.6 e-HDi 92pk 88g";D;H5;2013;2013
75227;"208 Active 1.6 e-HDi 92pk 85g";D;H5;2013;heden
75228;"208 Blue Lease 1.6 e-HDi 92pk 85g";D;H5;2013;heden
75228;"208 Blue Lease 1.6 e-HDi 92pk 85g";D;H5;2013;heden
75229;"208 Allure 1.6 e-HDi 92pk 85g";D;H5;2013;heden
75230;"208 Blue Lease Executive 1.6 e-HDi 92pk 85g";D;H5;2013;heden
69895;"208 Active 1.6 e-HDi 115pk";D;H6;2012;2012
69895;"208 Active 1.6 e-HDi 115pk";D;H6;2012;2012
64561;"208 Allure 1.6 e-HDi 115pk";D;H6;2012;heden
