id;pikk_mudel;kytus;kaigukast;alates;kuni
36591;"307 XR 1.4-16V";B;H5;2005;2007
36593;"307 XS 1.4-16V";B;H5;2005;2006
43741;"307 Premium 1.4-16V";B;H5;2006;2007
43741;"307 Premium 1.4-16V";B;H5;2006;2007
36599;"307 XS 1.6-16V";B;H5;2005;2007
43742;"307 Premium 1.6-16V";B;H5;2006;2007
36598;"307 XS 1.6 16V";B;A4;2005;2006
36598;"307 XS 1.6 16V";B;A4;2005;2006
36616;"307 XS 2.0-16V";B;H5;2005;2006
36615;"307 XS 2.0-16V";B;A4;2005;2006
36614;"307 XSi 2.0-16V";B;H5;2005;2006
36614;"307 XSi 2.0-16V";B;H5;2005;2006
36613;"307 XSi 2.0-16V";B;A4;2005;2006
36658;"307 Feline 2.0 16V 177pk";B;H5;2005;2006
36630;"307 XR 1.6 HDi 16V 90pk";D;H5;2005;2006
36630;"307 XR 1.6 HDi 16V 90pk";D;H5;2005;2006
36629;"307 XS 1.6 HDi 16V 90pk";D;H5;2005;2006
41823;"307 XR 1.6 HDiF 16V 90pk";D;H5;2006;2007
41824;"307 XS 1.6 HDiF 16V 90pk";D;H5;2006;2007
41824;"307 XS 1.6 HDiF 16V 90pk";D;H5;2006;2007
36640;"307 XS 1.6 HDiF 16V 110pk";D;H5;2005;2006
36639;"307 XSi 1.6 HDiF 16V 110pk";D;H5;2005;2006
36651;"307 XSi 2.0 HDiF 16V 136pk";D;H6;2005;2006
36651;"307 XSi 2.0 HDiF 16V 136pk";D;H6;2005;2006
36660;"307 Feline 2.0 HDiF 16V 136pk";D;H6;2005;2006
