id;pikk_mudel;kytus;kaigukast;alates;kuni
67198;"Boxer L1H1 330 HDi 110";D;H6;2012;heden
67201;"Boxer L1H1 330 HDi 130";D;H6;2012;heden
74375;"Boxer L1H1 330 e-HDi 130";D;H6;2013;heden
74375;"Boxer L1H1 330 e-HDi 130";D;H6;2013;heden
67200;"Boxer L1H1 330 HDi 150";D;H6;2012;heden
67204;"Boxer L1H1 333 HDi 110";D;H6;2012;heden
67203;"Boxer L1H1 333 HDi 130";D;H6;2012;heden
67203;"Boxer L1H1 333 HDi 130";D;H6;2012;heden
67202;"Boxer L1H1 333 HDi 150";D;H6;2012;heden
67207;"Boxer L1H2 333 HDi 110";D;H6;2012;heden
67206;"Boxer L1H2 333 HDi 130";D;H6;2012;heden
67206;"Boxer L1H2 333 HDi 130";D;H6;2012;heden
67205;"Boxer L1H2 333 HDi 150";D;H6;2012;heden
67210;"Boxer L2H1 330 HDi 110";D;H6;2012;heden
67209;"Boxer L2H1 330 HDi 130";D;H6;2012;heden
67209;"Boxer L2H1 330 HDi 130";D;H6;2012;heden
67208;"Boxer L2H1 330 HDi 150";D;H6;2012;heden
67213;"Boxer L2H1 333 HDi 110";D;H6;2012;heden
67212;"Boxer L2H1 333 HDi 130";D;H6;2012;heden
67212;"Boxer L2H1 333 HDi 130";D;H6;2012;heden
67211;"Boxer L2H1 333 HDi 150";D;H6;2012;heden
67216;"Boxer L2H2 330 HDi 110";D;H6;2012;heden
67215;"Boxer L2H2 330 HDi 130";D;H6;2012;heden
67215;"Boxer L2H2 330 HDi 130";D;H6;2012;heden
67214;"Boxer L2H2 330 HDi 150";D;H6;2012;heden
67219;"Boxer L2H2 333 HDi 110";D;H6;2012;heden
67218;"Boxer L2H2 333 HDi 130";D;H6;2012;heden
67218;"Boxer L2H2 333 HDi 130";D;H6;2012;heden
67217;"Boxer L2H2 333 HDi 150";D;H6;2012;heden
67221;"Boxer L2H2 335 HDi 130";D;H6;2012;heden
67220;"Boxer L2H2 335 HDi 150";D;H6;2012;heden
67220;"Boxer L2H2 335 HDi 150";D;H6;2012;heden
67224;"Boxer L3H2 333 HDi 110";D;H6;2012;heden
67223;"Boxer L3H2 333 HDi 130";D;H6;2012;heden
67222;"Boxer L3H2 333 HDi 150";D;H6;2012;heden
67222;"Boxer L3H2 333 HDi 150";D;H6;2012;heden
67226;"Boxer L3H2 335 HDi 130";D;H6;2012;heden
67225;"Boxer L3H2 335 HDi 150";D;H6;2012;heden
67229;"Boxer L3H2 435 HDi 130";D;H6;2012;heden
67229;"Boxer L3H2 435 HDi 130";D;H6;2012;heden
67228;"Boxer L3H2 435 HDi 150";D;H6;2012;heden
67227;"Boxer L3H2 435 HDi 180";D;H6;2012;heden
67231;"Boxer L4H2 435 HDi 150";D;H6;2012;heden
67231;"Boxer L4H2 435 HDi 150";D;H6;2012;heden
67230;"Boxer L4H2 435 HDi 180";D;H6;2012;heden
