id;pikk_mudel;kytus;kaigukast;alates;kuni
66457;"Expert 227 L1H1 1.6 HDi 90";D;H5;2012;2012
66460;"Expert 227 L1H1 2.0 HDi 130";D;H6;2012;2012
66461;"Expert 227 L1H1 2.0 HDi 163";D;H6;2012;2012
66461;"Expert 227 L1H1 2.0 HDi 163";D;H6;2012;2012
66464;"Expert 229 L1H1 1.6 HDi 90";D;H5;2012;2012
66463;"Expert 229 L1H1 2.0 HDi 130";D;H6;2012;2012
66462;"Expert 229 L1H1 2.0 HDi 163";D;H6;2012;2012
66462;"Expert 229 L1H1 2.0 HDi 163";D;H6;2012;2012
66467;"Expert 229 L2H1 1.6 HDi 90";D;H5;2012;2012
66466;"Expert 229 L2H1 2.0 HDi 130";D;H6;2012;2012
66465;"Expert 229 L2H1 2.0 HDi 163";D;H6;2012;2012
66465;"Expert 229 L2H1 2.0 HDi 163";D;H6;2012;2012
66468;"Expert 229 L2H2 2.0 HDi 130";D;H6;2012;2012
67937;"Expert 227 L1H1 1.6 HDi 90";D;H5;2012;heden
67940;"Expert 227 L1H1 2.0 HDi 130";D;H6;2012;heden
67940;"Expert 227 L1H1 2.0 HDi 130";D;H6;2012;heden
67939;"Expert 227 L1H1 2.0 HDi 163";D;H6;2012;heden
67943;"Expert 229 L1H1 1.6 HDi 90";D;H5;2012;heden
67942;"Expert 229 L1H1 2.0 HDi 130";D;H6;2012;heden
67942;"Expert 229 L1H1 2.0 HDi 130";D;H6;2012;heden
67941;"Expert 229 L1H1 2.0 HDi 163";D;H6;2012;heden
67947;"Expert 229 L2H1 1.6 HDi 90";D;H5;2012;heden
67946;"Expert 229 L2H1 2.0 HDi 130";D;H6;2012;heden
67946;"Expert 229 L2H1 2.0 HDi 130";D;H6;2012;heden
67945;"Expert 229 L2H1 2.0 HDi 163";D;H6;2012;heden
67948;"Expert 229 L2H1 2.0 HDi 163";D;A6;2012;heden
67944;"Expert 229 L2H2 2.0 HDi 130";D;H6;2012;heden
67944;"Expert 229 L2H2 2.0 HDi 130";D;H6;2012;heden
