id;pikk_mudel;kytus;kaigukast;alates;kuni
15177;"Partner Combi 1.4";B;H5;1997;2002
15178;"Partner Combispace 1.4";B;H5;1997;2002
26970;"Partner Combispace 1.4 Zenith";B;H5;2002;2002
26970;"Partner Combispace 1.4 Zenith";B;H5;2002;2002
21697;"Partner Combispace 1.6-16V";B;H5;2000;2002
26971;"Partner Combispace 1.6-16V Zenith";B;H5;2002;2002
23513;"Partner Combispace VTC 1.6-16V";B;H5;2001;2002
23513;"Partner Combispace VTC 1.6-16V";B;H5;2001;2002
15179;"Partner Combispace 1.8";B;H5;1997;2001
15180;"Partner Combispace 1.9 D";D;H5;1997;1998
17098;"Partner Combi 1.9 D";D;H5;1998;2002
17098;"Partner Combi 1.9 D";D;H5;1998;2002
17099;"Partner Combispace 1.9 D";D;H5;1998;2002
26972;"Partner Combispace 1.9 D Zenith";D;H5;2002;2002
23514;"Partner Combispace 2.0 HDI";D;H5;2001;2002
23514;"Partner Combispace 2.0 HDI";D;H5;2001;2002
26973;"Partner Combispace 2.0 HDI Zenith";D;H5;2002;2002
23515;"Partner Combispace VTC 2.0 HDI";D;H5;2001;2002
