id;pikk_mudel;kytus;kaigukast;alates;kuni
24320;"911 Carrera Cabriolet";B;H6;2001;2004
24319;"911 Carrera Cabriolet";B;A5;2001;2004
24318;"911 Carrera 4 Cabriolet";B;H6;2001;2005
24318;"911 Carrera 4 Cabriolet";B;H6;2001;2005
24317;"911 Carrera 4 Cabriolet";B;A5;2001;2005
29469;"911 Carrera 4S Cabriolet";B;H6;2003;2005
29468;"911 Carrera 4S Cabriolet";B;A5;2003;2005
29468;"911 Carrera 4S Cabriolet";B;A5;2003;2005
30879;"911 Turbo Cabriolet";B;H6;2004;2006
30878;"911 Turbo Cabriolet";B;A5;2004;2006
32880;"911 Turbo S Cabriolet";B;H6;2004;2006
32880;"911 Turbo S Cabriolet";B;H6;2004;2006
32879;"911 Turbo S Cabriolet";B;A5;2004;2006
