id;pikk_mudel;kytus;kaigukast;alates;kuni
63426;Panamera;B;H6;2011;2012
60372;Panamera;B;A7;2011;2013
71228;"Panamera Platinum Edition";B;A7;2013;2013
71228;"Panamera Platinum Edition";B;A7;2013;2013
60373;"Panamera 4";B;A7;2011;2013
71229;"Panamera 4 Platinum Edition";B;A7;2013;2013
62439;"Panamera S Hybrid";B;A8;2011;2013
62439;"Panamera S Hybrid";B;A8;2011;2013
53042;"Panamera S";B;H6;2009;2012
53044;"Panamera S";B;A7;2009;2013
53045;"Panamera 4S";B;A7;2009;2013
53045;"Panamera 4S";B;A7;2009;2013
64591;"Panamera GTS";B;A7;2012;2013
53046;"Panamera Turbo";B;A7;2009;2013
62440;"Panamera Turbo S";B;A7;2011;2013
62440;"Panamera Turbo S";B;A7;2011;2013
62441;"Panamera Diesel";D;A7;2011;2013
71227;"Panamera Diesel Platinum Edition";D;A7;2013;2013
