id;pikk_mudel;kytus;kaigukast;alates;kuni
73683;Panamera;B;A7;2013;heden
73686;"Panamera 4";B;A7;2013;heden
73691;"Panamera S E-Hybrid";B;A8;2013;heden
73691;"Panamera S E-Hybrid";B;A8;2013;heden
73687;"Panamera S";B;A7;2013;heden
73688;"Panamera 4S";B;A7;2013;heden
73692;"Panamera 4S Executive";B;A7;2013;heden
73692;"Panamera 4S Executive";B;A7;2013;heden
73689;"Panamera GTS";B;A7;2013;heden
73690;"Panamera Turbo";B;A7;2013;heden
73693;"Panamera Turbo Executive";B;A7;2013;heden
73693;"Panamera Turbo Executive";B;A7;2013;heden
75633;"Panamera Turbo S";B;A7;2013;heden
75634;"Panamera Turbo S Executive";B;A7;2013;heden
73685;"Panamera Diesel";D;A8;2013;2014
73685;"Panamera Diesel";D;A8;2013;2014
75056;"Panamera Diesel";D;A8;2014;heden
