id;pikk_mudel;kytus;kaigukast;alates;kuni
8208;"19 RL 1.4";B;H5;1992;1994
8209;"19 RN 1.4";B;H5;1992;1994
8210;"19 RL 1.7";B;H5;1992;1994
8210;"19 RL 1.7";B;H5;1992;1994
8211;"19 RN 1.7";B;H5;1992;1994
8212;"19 RN 1.7";B;A3;1992;1994
9231;"19 S 1.7";B;H5;1993;1994
9231;"19 S 1.7";B;H5;1993;1994
8213;"19 RN 1.8";B;H5;1992;1994
9232;"19 RN 1.8";B;A4;1993;1994
9233;"19 S 1.8";B;H5;1993;1994
9233;"19 S 1.8";B;H5;1993;1994
8214;"19 RT 1.8";B;A4;1992;1994
8215;"19 RT 1.8i";B;H5;1992;1994
8216;"19 16V";B;H5;1992;1994
8216;"19 16V";B;H5;1992;1994
8217;"19 RL 1.9 D";D;H5;1992;1994
8218;"19 RN 1.9 D";D;H5;1992;1994
8219;"19 RN 1.9 dT";D;H5;1992;1994
8219;"19 RN 1.9 dT";D;H5;1992;1994
