id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
575;19;"3-deurs hatchback";1988;1992;560;19;19359
577;19;"5-deurs hatchback";1988;1992;560;19;19364
588;19;"5-deurs hatchback";1992;1994;560;19;20207
586;19;"4-deurs sedan";1992;1994;560;19;20204
583;19;"3-deurs hatchback";1992;1994;560;19;20200
590;19;"3-deurs hatchback";1994;1995;560;19;20200
592;19;"4-deurs sedan";1994;1995;560;19;20204
596;19;"5-deurs hatchback";1995;1996;560;19;20207
581;"19 Cabriolet";"2-deurs cabriolet";1992;1995;560;19;20210
594;"19 Cabriolet";"2-deurs cabriolet";1995;1996;560;19;20210
579;"19 Chamade";"4-deurs sedan";1989;1992;560;19;19551
