id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
649;Clio;"3-deurs hatchback";1990;1994;572;Clio;19690
651;Clio;"5-deurs hatchback";1990;1994;572;Clio;19692
653;Clio;"3-deurs hatchback";1994;1996;572;Clio;20858
655;Clio;"5-deurs hatchback";1994;1996;572;Clio;20865
659;Clio;"5-deurs hatchback";1996;1998;572;Clio;21506
657;Clio;"3-deurs hatchback";1996;1998;572;Clio;21501
662;Clio;"3-deurs hatchback";1998;2001;572;Clio;22495
664;Clio;"5-deurs hatchback";1998;2001;572;Clio;22499
666;Clio;"3-deurs hatchback";2001;2003;572;Clio;24739
668;Clio;"5-deurs hatchback";2001;2003;572;Clio;24748
672;Clio;"5-deurs hatchback";2003;2009;572;Clio;24748
670;Clio;"3-deurs hatchback";2003;2009;572;Clio;26494
674;Clio;"3-deurs hatchback";2005;2009;572;Clio;28775
676;Clio;"5-deurs hatchback";2005;2009;572;Clio;28787
3129;Clio;"3-deurs hatchback";2009;2013;572;Clio;66874
3130;Clio;"5-deurs hatchback";2009;2013;572;Clio;66872
3883;Clio;"5-deurs hatchback";2012;heden;572;Clio;130267
3050;"Clio Estate";"5-deurs stationwagon";2008;2009;572;Clio;50836
3131;"Clio Estate";"5-deurs stationwagon";2009;2013;572;Clio;84608
3964;"Clio Estate";"5-deurs stationwagon";2013;heden;572;Clio;145918
