id;pikk_mudel;kytus;kaigukast;alates;kuni
6578;"Clio RL 1.2";B;H5;1990;1994
6579;"Clio RN 1.2";B;H5;1990;1994
9224;"Clio RL 1.4";B;H5;1993;1994
9224;"Clio RL 1.4";B;H5;1993;1994
6580;"Clio RN 1.4";B;H5;1990;1994
6581;"Clio RN 1.4";B;A4;1990;1994
7336;"Clio S 1.4";B;H5;1991;1994
7336;"Clio S 1.4";B;H5;1991;1994
6582;"Clio RT 1.4";B;H5;1990;1994
6583;"Clio RT 1.4";B;A4;1990;1994
7337;"Clio Baccara 1.4";B;A4;1991;1994
7337;"Clio Baccara 1.4";B;A4;1991;1994
7338;"Clio RT 1.8";B;H5;1991;1994
7339;"Clio Baccara 1.8";B;H5;1991;1993
9225;"Clio RSi";B;H5;1993;1994
9225;"Clio RSi";B;H5;1993;1994
7340;"Clio 16V";B;H5;1991;1994
9226;"Clio Williams 16V";B;H5;1993;1994
6584;"Clio RL 1.9 D";D;H5;1990;1994
6584;"Clio RL 1.9 D";D;H5;1990;1994
6585;"Clio RN 1.9 D";D;H5;1990;1994
