id;pikk_mudel;kytus;kaigukast;alates;kuni
69993;"Clio TCe 90 Energy Authentique";B;H5;2012;heden
69997;"Clio TCe 90 Energy Expression";B;H5;2012;heden
69998;"Clio TCe 90 Energy Collection";B;H5;2012;2013
69998;"Clio TCe 90 Energy Collection";B;H5;2012;2013
71494;"Clio TCe 90 Energy Dynamique";B;H5;2013;heden
69999;"Clio TCe 90 Dynamique";B;H5;2012;2013
73675;"Clio TCe 120 GT";B;A6;2013;heden
73675;"Clio TCe 120 GT";B;A6;2013;heden
73201;"Clio RS";B;A6;2013;heden
69996;"Clio dCi 90 Energy Authentique";D;H5;2012;heden
70000;"Clio dCi 90 Energy Expression";D;H5;2012;heden
70000;"Clio dCi 90 Energy Expression";D;H5;2012;heden
70001;"Clio dCi 90 Energy Collection";D;H5;2012;2013
71495;"Clio dCi 90 Energy Dynamique";D;H5;2013;heden
73677;"Clio dCi 90 Expression";D;A6;2013;heden
73677;"Clio dCi 90 Expression";D;A6;2013;heden
73678;"Clio dCi 90 Dynamique";D;A6;2013;heden
70002;"Clio dCi 90 Dynamique";D;H5;2012;2013
