id;pikk_mudel;kytus;kaigukast;alates;kuni
59767;"Grand Espace 2.0 Turbo 16V Celsium";B;H6;2010;2012
59766;"Grand Espace 2.0 Turbo 16V Initiale";B;H6;2010;2012
59769;"Grand Espace 2.0 dCi 16V 150 Celsium";D;H6;2010;2012
59769;"Grand Espace 2.0 dCi 16V 150 Celsium";D;H6;2010;2012
59771;"Grand Espace 2.0 dCi 16V 150 Celsium";D;A6;2010;2012
59775;"Grand Espace 2.0 dCi 16V 150 Initiale";D;H6;2010;2012
59774;"Grand Espace 2.0 dCi 16V 150 Initiale";D;A6;2010;2012
59774;"Grand Espace 2.0 dCi 16V 150 Initiale";D;A6;2010;2012
63791;"Grand Espace 2.0 dCi 16V 175 Celsium";D;A6;2012;2012
59777;"Grand Espace 2.0 dCi 16V 175 Initiale";D;A6;2010;2012
