id;pikk_mudel;kytus;kaigukast;alates;kuni
50935;"Kangoo Family 1.6 16V 90 Authentique";B;H5;2008;2011
50934;"Kangoo Family 1.6 16V 90 Expression";B;H5;2008;2011
63771;"Kangoo Family 1.6 16V 110 Authentique";B;H5;2012;2013
63771;"Kangoo Family 1.6 16V 110 Authentique";B;H5;2012;2013
48030;"Kangoo Family 1.6 16V 110 Expression";B;H5;2008;2013
50932;"Kangoo Family 1.6 16V 110 Expression";B;A4;2008;2013
48033;"Kangoo Family 1.6 16V 110 Privil&egrave;ge";B;H5;2008;2013
48033;"Kangoo Family 1.6 16V 110 Privil&egrave;ge";B;H5;2008;2013
50933;"Kangoo Family 1.6 16V 110 Privil&egrave;ge";B;A4;2008;2013
48034;"Kangoo Family 1.5 dCi 70 Authentique";D;H5;2008;2010
57735;"Kangoo Family 1.5 dCi 75 Authentique";D;H5;2010;2012
57735;"Kangoo Family 1.5 dCi 75 Authentique";D;H5;2010;2012
68312;"Kangoo Family 1.5 dCi 75 Authentique";D;H5;2012;2013
71496;"Kangoo Family 1.5 dCi 75 Expression";D;H5;2013;2013
48035;"Kangoo Family 1.5 dCi 85 Authentique";D;H5;2008;2009
48035;"Kangoo Family 1.5 dCi 85 Authentique";D;H5;2008;2009
48036;"Kangoo Family 1.5 dCi 85 Expression";D;H5;2008;2009
48037;"Kangoo Family 1.5 dCi 85 Privil&egrave;ge";D;H5;2008;2009
51942;"Kangoo Family 1.5 dCi 90 Authentique";D;H5;2009;2012
51942;"Kangoo Family 1.5 dCi 90 Authentique";D;H5;2009;2012
51943;"Kangoo Family 1.5 dCi 90 Expression";D;H5;2009;2012
51944;"Kangoo Family 1.5 dCi 90 Privil&egrave;ge";D;H5;2009;2012
68313;"Kangoo Family 1.5 dCi 90 Authentique";D;H5;2012;2013
68313;"Kangoo Family 1.5 dCi 90 Authentique";D;H5;2012;2013
68314;"Kangoo Family 1.5 dCi 90 Expression";D;H5;2012;2013
68315;"Kangoo Family 1.5 dCi 90 Privil&egrave;ge";D;H5;2012;2013
48038;"Kangoo Family 1.5 dCi 105 Expression";D;H6;2008;2012
48038;"Kangoo Family 1.5 dCi 105 Expression";D;H6;2008;2012
48039;"Kangoo Family 1.5 dCi 105 Privil&egrave;ge";D;H6;2008;2012
68316;"Kangoo Family 1.5 dCi 110 Expression";D;H6;2012;2013
68317;"Kangoo Family 1.5 dCi 110 Privil&egrave;ge";D;H6;2012;2013
68317;"Kangoo Family 1.5 dCi 110 Privil&egrave;ge";D;H6;2012;2013
71497;"Grand Kangoo Family 1.5 dCi 90 Expression 5P";D;H5;2013;2013
71498;"Grand Kangoo Family 1.5 dCi 90 Expression 7P";D;H5;2013;2013
67850;"Kangoo Maxi Z.E.";B;A1;2011;2013
67850;"Kangoo Maxi Z.E.";B;A1;2011;2013
