id;pikk_mudel;kytus;kaigukast;alates;kuni
73218;"Kangoo Express Compact dCi 75 Comfort";D;H5;2013;heden
73220;"Kangoo Express Compact dCi 90 Comfort";D;H5;2013;heden
73221;"Kangoo Express TCE 115 Comfort";B;H5;2013;heden
73221;"Kangoo Express TCE 115 Comfort";B;H5;2013;heden
73222;"Kangoo Express dCi 75 Generique";D;H5;2013;heden
73224;"Kangoo Express dCi 75 Express";D;H5;2013;heden
73223;"Kangoo Express dCi 75 Comfort";D;H5;2013;heden
73223;"Kangoo Express dCi 75 Comfort";D;H5;2013;heden
73226;"Kangoo Express dCi 75 Energy Express";D;H5;2013;heden
73225;"Kangoo Express dCi 75 Energy Comfort";D;H5;2013;heden
73228;"Kangoo Express dCi 90 Comfort";D;H5;2013;heden
73228;"Kangoo Express dCi 90 Comfort";D;H5;2013;heden
73227;"Kangoo Express dCi 90 Black Edition";D;H5;2013;heden
73230;"Kangoo Express dCi 90 Energy Comfort";D;H5;2013;heden
73229;"Kangoo Express dCi 90 Energy Black Edition";D;H5;2013;heden
73229;"Kangoo Express dCi 90 Energy Black Edition";D;H5;2013;heden
73232;"Kangoo Express dCi 110 Comfort";D;H6;2013;heden
73231;"Kangoo Express dCi 110 Black Edition";D;H6;2013;heden
73239;"Kangoo Express dCi 110 Energy Comfort";D;H6;2013;heden
73239;"Kangoo Express dCi 110 Energy Comfort";D;H6;2013;heden
73240;"Kangoo Express dCi 110 Energy Black Edition";D;H6;2013;heden
73233;"Kangoo Express Z.E.";B;A1;2013;heden
73235;"Kangoo Express Maxi dCi 90 Comfort";D;H5;2013;heden
73235;"Kangoo Express Maxi dCi 90 Comfort";D;H5;2013;heden
73234;"Kangoo Express Maxi dCi 90 Black Edition";D;H5;2013;heden
73241;"Kangoo Express Maxi dCi 90 Energy Comfort";D;H5;2013;heden
73242;"Kangoo Express Maxi dCi 90 Energy Black Edition";D;H5;2013;heden
73242;"Kangoo Express Maxi dCi 90 Energy Black Edition";D;H5;2013;heden
73237;"Kangoo Express Maxi dCi 110 Comfort";D;H6;2013;heden
73236;"Kangoo Express Maxi dCi 110 Black Edition";D;H6;2013;heden
73243;"Kangoo Express Maxi dCi 110 Energy Comfort";D;H6;2013;heden
73243;"Kangoo Express Maxi dCi 110 Energy Comfort";D;H6;2013;heden
73244;"Kangoo Express Maxi dCi 110 Energy Black Edition";D;H6;2013;heden
73238;"Kangoo Express Maxi Z.E.";B;A1;2013;heden
