id;pikk_mudel;kytus;kaigukast;alates;kuni
46763;"Laguna 1.6 16V 110 Expression";B;H6;2007;2010
49424;"Laguna 1.6 16V 110 Corporate";B;H6;2008;2009
46767;"Laguna 1.6 16V 110 Dynamique";B;H6;2007;2009
46767;"Laguna 1.6 16V 110 Dynamique";B;H6;2007;2009
46766;"Laguna 2.0 16V 140 Expression";B;H6;2007;2010
49425;"Laguna 2.0 16V 140 Corporate";B;H6;2008;2009
46768;"Laguna 2.0 16V 140 Dynamique";B;H6;2007;2010
46768;"Laguna 2.0 16V 140 Dynamique";B;H6;2007;2010
46769;"Laguna 2.0 16V T 170 Dynamique";B;A6;2007;2010
46770;"Laguna 2.0 16V T 170 Initiale";B;A6;2007;2009
48923;"Laguna 2.0 16V T 205 GT";B;A6;2008;2010
48923;"Laguna 2.0 16V T 205 GT";B;A6;2008;2010
51936;"Laguna 1.5 dCi 110 Expression";D;H6;2009;2010
51937;"Laguna 1.5 dCi 110 Dynamique";D;H6;2009;2010
46771;"Laguna 2.0 dCi 130 Expression";D;H6;2007;2009
46771;"Laguna 2.0 dCi 130 Expression";D;H6;2007;2009
49426;"Laguna 2.0 dCi 130 Corporate";D;H6;2008;2009
46772;"Laguna 2.0 dCi 130 Dynamique";D;H6;2007;2009
46773;"Laguna 2.0 dCi 150 Expression";D;H6;2007;2009
46773;"Laguna 2.0 dCi 150 Expression";D;H6;2007;2009
63110;"Laguna 2.0 dCi 150 Expression";D;H6;2009;2010
53470;"Laguna 2.0 dCi 150 Expression";D;A6;2009;2010
46774;"Laguna 2.0 dCi 150 Dynamique";D;H6;2007;2009
46774;"Laguna 2.0 dCi 150 Dynamique";D;H6;2007;2009
63111;"Laguna 2.0 dCi 150 Dynamique";D;H6;2009;2010
46775;"Laguna 2.0 dCi 150 Dynamique";D;A6;2007;2010
46776;"Laguna 2.0 dCi 150 Initiale";D;A6;2007;2009
46776;"Laguna 2.0 dCi 150 Initiale";D;A6;2007;2009
46777;"Laguna 2.0 dCi 175 Dynamique";D;H6;2007;2009
46778;"Laguna 2.0 dCi 175 Initiale";D;H6;2007;2009
48924;"Laguna 2.0 dCi 180 GT";D;H6;2008;2010
48924;"Laguna 2.0 dCi 180 GT";D;H6;2008;2010
