id;pikk_mudel;kytus;kaigukast;alates;kuni
21886;"Megane Coupe 1.4 16V Expression";B;H5;2000;2002
21887;"Megane Coupe 1.4 16V Dynamique";B;H5;2000;2002
21888;"Megane Coupe 1.4 16V Privilege";B;H5;2000;2002
21888;"Megane Coupe 1.4 16V Privilege";B;H5;2000;2002
21889;"Megane Coupe 1.6 16V Expression";B;H5;2000;2002
21890;"Megane Coupe 1.6 16V Dynamique";B;H5;2000;2002
21891;"Megane Coupe 1.6 16V Dynamique";B;A4;2000;2002
21891;"Megane Coupe 1.6 16V Dynamique";B;A4;2000;2002
21892;"Megane Coupe 1.6 16V Privilege";B;H5;2000;2002
21893;"Megane Coupe 1.6 16V Privilege";B;A4;2000;2002
21894;"Megane Coupe 2.0 16V IDE Dynamique";B;H5;2000;2001
21894;"Megane Coupe 2.0 16V IDE Dynamique";B;H5;2000;2001
21895;"Megane Coupe 2.0 16V IDE Privilege";B;H5;2000;2001
25207;"Megane Coupe 2.0 16V Dynamique";B;H5;2001;2002
25206;"Megane Coupe 2.0 16V Privilege";B;H5;2001;2002
25206;"Megane Coupe 2.0 16V Privilege";B;H5;2001;2002
21896;"Megane Coupe 1.9 dTi Dynamique";D;A4;2000;2001
21897;"Megane Coupe 1.9 dTi Privilege";D;A4;2000;2001
21898;"Megane Coupe 1.9 dCi Expression";D;H5;2000;2002
21898;"Megane Coupe 1.9 dCi Expression";D;H5;2000;2002
21899;"Megane Coupe 1.9 dCi Dynamique";D;H5;2000;2002
21900;"Megane Coupe 1.9 dCi Privilege";D;H5;2000;2002
