id;pikk_mudel;kytus;kaigukast;alates;kuni
76018;"Megane TCe 115 Energy Authentique";B;H6;2013;heden
76020;"Megane TCe 115 Energy Expression";B;H6;2013;heden
76021;"Megane TCe 115 Energy Bose";B;H6;2013;heden
76021;"Megane TCe 115 Energy Bose";B;H6;2013;heden
76022;"Megane TCe 130 Energy Bose";B;H6;2013;heden
76023;"Megane TCe 130 Energy GT-Line";B;H6;2013;heden
76024;"Megane TCe 130 Bose";B;A6;2013;heden
76024;"Megane TCe 130 Bose";B;A6;2013;heden
76025;"Megane TCe 130 GT-Line";B;A6;2013;heden
76026;"Megane 2.0 16V Turbo 220 GT-Line";B;H6;2013;heden
76030;"Megane dCi 110 ECO2 Authentique";D;H6;2013;heden
76030;"Megane dCi 110 ECO2 Authentique";D;H6;2013;heden
76027;"Megane dCi 110 ECO2 Expression";D;H6;2013;heden
76028;"Megane dCi 110 ECO2 Bose";D;H6;2013;heden
76029;"Megane dCi 110 ECO2 GT-Line";D;H6;2013;heden
76029;"Megane dCi 110 ECO2 GT-Line";D;H6;2013;heden
76031;"Megane dCi 110 Expression";D;A6;2013;heden
76032;"Megane dCi 110 Bose";D;A6;2013;heden
76033;"Megane dCi 110 GT-Line";D;A6;2013;heden
76033;"Megane dCi 110 GT-Line";D;A6;2013;heden
76034;"Megane dCi 130 Energy Bose";D;H6;2013;heden
76035;"Megane dCi 130 Energy GT-Line";D;H6;2013;heden
