id;pikk_mudel;kytus;kaigukast;alates;kuni
64738;"Scenic 1.6 16V E85 Authentique";B;H6;2012;2013
64740;"Scenic 1.6 16V E85 Expression";B;H6;2012;2012
70916;"Scenic TCe 115 Energy Authentique";B;H6;2013;2013
70916;"Scenic TCe 115 Energy Authentique";B;H6;2013;2013
68096;"Scenic TCe 115 Energy Expression";B;H6;2012;2013
68097;"Scenic TCe 115 Energy Dynamique";B;H6;2012;2012
69615;"Scenic TCe 115 Energy Collection";B;H6;2012;2013
69615;"Scenic TCe 115 Energy Collection";B;H6;2012;2013
68098;"Scenic TCe 115 Energy Bose";B;H6;2012;2013
68099;"Scenic TCe 115 Energy Privil&egrave;ge";B;H6;2012;2013
64742;"Scenic TCe 130 Expression";B;H6;2012;2012
64742;"Scenic TCe 130 Expression";B;H6;2012;2012
68095;"Scenic TCe 130 Dynamique";B;H6;2012;2012
69616;"Scenic TCe 130 Collection";B;H6;2012;2013
64744;"Scenic TCe 130 Bose";B;H6;2012;2013
64744;"Scenic TCe 130 Bose";B;H6;2012;2013
64746;"Scenic TCe 130 Privil&egrave;ge";B;H6;2012;2013
68100;"Scenic 2.0 16V Dynamique";B;A1;2012;2012
64748;"Scenic 2.0 16V Bose";B;A1;2012;2013
64748;"Scenic 2.0 16V Bose";B;A1;2012;2013
64750;"Scenic 2.0 16V Privil&egrave;ge";B;A1;2012;2013
64752;"Scenic dCi 110 Energy Expression";D;H6;2012;2013
68101;"Scenic dCi 110 Energy Dynamique";D;H6;2012;2012
68101;"Scenic dCi 110 Energy Dynamique";D;H6;2012;2012
69617;"Scenic dCi 110 Energy Collection";D;H6;2012;2013
64754;"Scenic dCi 110 Energy Bose";D;H6;2012;2013
64765;"Scenic dCi 110 Energy Privil&egrave;ge";D;H6;2012;2013
64765;"Scenic dCi 110 Energy Privil&egrave;ge";D;H6;2012;2013
68102;"Scenic dCi 110 Dynamique";D;A6;2012;2012
64756;"Scenic dCi 110 Bose";D;A6;2012;2013
64766;"Scenic dCi 110 Privil&egrave;ge";D;A6;2012;2013
64766;"Scenic dCi 110 Privil&egrave;ge";D;A6;2012;2013
68103;"Scenic dCi 130 Energy Dynamique";D;H6;2012;2012
64758;"Scenic dCi 130 Energy Bose";D;H6;2012;2013
64760;"Scenic dCi 130 Energy Privil&egrave;ge";D;H6;2012;2013
64760;"Scenic dCi 130 Energy Privil&egrave;ge";D;H6;2012;2013
