id;pikk_mudel;kytus;kaigukast;alates;kuni
72451;"Scenic TCe 115 Energy Authentique";B;H6;2013;heden
72455;"Scenic TCe 115 Energy Expression";B;H6;2013;heden
72457;"Scenic TCe 115 Energy Bose";B;H6;2013;heden
72457;"Scenic TCe 115 Energy Bose";B;H6;2013;heden
72459;"Scenic TCe 130 Energy Bose";B;H6;2013;heden
72461;"Scenic 2.0 16V Bose";B;A1;2013;heden
72463;"Scenic dCi 110 Energy Expression";D;H6;2013;heden
72463;"Scenic dCi 110 Energy Expression";D;H6;2013;heden
72465;"Scenic dCi 110 Energy Bose";D;H6;2013;heden
72467;"Scenic dCi 110 Bose";D;A6;2013;heden
72469;"Scenic dCi 130 Energy Bose";D;H6;2013;heden
72469;"Scenic dCi 130 Energy Bose";D;H6;2013;heden
