id;pikk_mudel;kytus;kaigukast;alates;kuni
66390;"Trafic L1H1 T27 2.0 dCi 90 Generique";D;H6;2011;heden
66396;"Trafic L1H1 T27 2.0 dCi 90";D;H6;2011;heden
66411;"Trafic L1H1 T27 2.0 dCi 90 Black Edition";D;H6;2012;heden
66411;"Trafic L1H1 T27 2.0 dCi 90 Black Edition";D;H6;2012;heden
66393;"Trafic L1H1 T27 2.0 dCi 115 Generique";D;H6;2011;heden
66397;"Trafic L1H1 T27 2.0 dCi 115";D;H6;2011;heden
66398;"Trafic L1H1 T27 2.0 dCi 115";D;A6;2011;heden
66398;"Trafic L1H1 T27 2.0 dCi 115";D;A6;2011;heden
66412;"Trafic L1H1 T27 2.0 dCi 115 Black Edition";D;H6;2012;heden
66413;"Trafic L1H1 T27 2.0 dCi 115 Black Edition";D;A6;2012;heden
66402;"Trafic L1H1 T29 2.0 dCi 90";D;H6;2011;heden
66402;"Trafic L1H1 T29 2.0 dCi 90";D;H6;2011;heden
66403;"Trafic L1H1 T29 2.0 dCi 115";D;H6;2011;heden
66404;"Trafic L1H1 T29 2.0 dCi 115";D;A6;2011;heden
66407;"Trafic L1H2 T29 2.0 dCi 90";D;H6;2011;heden
66407;"Trafic L1H2 T29 2.0 dCi 90";D;H6;2011;heden
66406;"Trafic L1H2 T29 2.0 dCi 115";D;H6;2011;heden
66405;"Trafic L1H2 T29 2.0 dCi 115";D;A6;2011;heden
66395;"Trafic L2H1 T29 2.0 dCi 90 Generique";D;H6;2011;heden
66395;"Trafic L2H1 T29 2.0 dCi 90 Generique";D;H6;2011;heden
66399;"Trafic L2H1 T29 2.0 dCi 90";D;H6;2011;heden
66414;"Trafic L2H1 T29 2.0 dCi 90 Black Edition";D;H6;2012;heden
66394;"Trafic L2H1 T29 2.0 dCi 115 Generique";D;H6;2011;heden
66394;"Trafic L2H1 T29 2.0 dCi 115 Generique";D;H6;2011;heden
66400;"Trafic L2H1 T29 2.0 dCi 115";D;H6;2011;heden
66401;"Trafic L2H1 T29 2.0 dCi 115";D;A6;2011;heden
66415;"Trafic L2H1 T29 2.0 dCi 115 Black Edition";D;H6;2012;heden
66415;"Trafic L2H1 T29 2.0 dCi 115 Black Edition";D;H6;2012;heden
66416;"Trafic L2H1 T29 2.0 dCi 115 Black Edition";D;A6;2011;heden
66410;"Trafic L2H2 T29 2.0 dCi 90";D;H6;2011;heden
66409;"Trafic L2H2 T29 2.0 dCi 115";D;H6;2011;heden
66409;"Trafic L2H2 T29 2.0 dCi 115";D;H6;2011;heden
66408;"Trafic L2H2 T29 2.0 dCi 115";D;A6;2011;heden
