id;pikk_mudel;kytus;kaigukast;alates;kuni
21755;"Twingo 1.2 Authentique";B;H5;2000;2002
21756;"Twingo 1.2 Expression";B;H5;2000;2002
21757;"Twingo 1.2 Expression";B;A3;2000;2001
21757;"Twingo 1.2 Expression";B;A3;2000;2001
23619;"Twingo 1.2 Expression";B;A5;2001;2002
23620;"Twingo 1.2 Privil&egrave;ge";B;H5;2001;2002
23621;"Twingo 1.2 Privil&egrave;ge";B;A5;2001;2002
23621;"Twingo 1.2 Privil&egrave;ge";B;A5;2001;2002
23622;"Twingo 1.2 Cinetic";B;H5;2001;2001
23623;"Twingo 1.2 Cinetic";B;A5;2001;2001
21758;"Twingo 1.2 Initiale";B;H5;2000;2002
21758;"Twingo 1.2 Initiale";B;H5;2000;2002
21759;"Twingo 1.2 Initiale";B;A3;2000;2001
23624;"Twingo 1.2 Initiale";B;A5;2001;2002
21760;"Twingo 1.2 16V Expression";B;H5;2000;2002
21760;"Twingo 1.2 16V Expression";B;H5;2000;2002
23625;"Twingo 1.2 16V Expression";B;A5;2001;2002
23626;"Twingo 1.2 16V Privil&egrave;ge";B;H5;2001;2002
23627;"Twingo 1.2 16V Privil&egrave;ge";B;A5;2001;2002
23627;"Twingo 1.2 16V Privil&egrave;ge";B;A5;2001;2002
23628;"Twingo 1.2 16V Cinetic";B;H5;2001;2001
23629;"Twingo 1.2 16V Cinetic";B;A5;2001;2001
21761;"Twingo 1.2 16V Initiale";B;H5;2000;2002
21761;"Twingo 1.2 16V Initiale";B;H5;2000;2002
23630;"Twingo 1.2 16V Initiale";B;A5;2001;2002
