id;pikk_mudel;kytus;kaigukast;alates;kuni
13530;214i;B;H5;1996;1999
17277;"214i Chelsea";B;H5;1998;1999
13531;"214 Si";B;H5;1996;1999
13531;"214 Si";B;H5;1996;1999
19402;"216 Eaton";B;H5;1999;1999
19403;"216 Eaton";B;A1;1999;1999
19404;"216 Docklands";B;H5;1999;1999
19404;"216 Docklands";B;H5;1999;1999
13532;"200 vi";B;H5;1996;1999
17278;"200 BRM";B;H5;1998;1999
13533;"220 D";D;H5;1996;1999
13533;"220 D";D;H5;1996;1999
19405;"220 D Chelsea";D;H5;1999;1999
17279;"220 TDic";D;H5;1998;1999
19406;"220 TDic Docklands";D;H5;1999;1999
19406;"220 TDic Docklands";D;H5;1999;1999
