id;pikk_mudel;kytus;kaigukast;alates;kuni
32546;"45 1.6 Basic";B;H5;2004;2005
32551;"45 1.6 Classic";B;H5;2004;2005
32555;"45 1.6 Club";B;H5;2004;2005
32555;"45 1.6 Club";B;H5;2004;2005
32554;"45 1.6 Sterling";B;H5;2004;2005
32561;"45 1.8 Classic";B;H5;2004;2005
32578;"45 1.8 Classic";B;A1;2004;2005
32578;"45 1.8 Classic";B;A1;2004;2005
32560;"45 1.8 Club";B;H5;2004;2005
32579;"45 1.8 Club";B;A1;2004;2005
32559;"45 1.8 Sterling";B;H5;2004;2005
32559;"45 1.8 Sterling";B;H5;2004;2005
32580;"45 1.8 Sterling";B;A1;2004;2005
32565;"45 2.0 V6 Club";B;A5;2004;2005
32564;"45 2.0 V6 Sterling";B;A5;2004;2005
32564;"45 2.0 V6 Sterling";B;A5;2004;2005
32573;"45 2.0 IDT 100pk Basic";D;H5;2004;2005
32572;"45 2.0 IDT 100pk Classic";D;H5;2004;2005
32571;"45 2.0 IDT 100pk Club";D;H5;2004;2005
32571;"45 2.0 IDT 100pk Club";D;H5;2004;2005
32570;"45 2.0 IDT 100pk Sterling";D;H5;2004;2005
32589;"45 2.0 IDT 113pk Basic";D;H5;2004;2005
32588;"45 2.0 IDT 113pk Classic";D;H5;2004;2005
32588;"45 2.0 IDT 113pk Classic";D;H5;2004;2005
32587;"45 2.0 IDT 113pk Club";D;H5;2004;2005
32586;"45 2.0 IDT 113pk Sterling";D;H5;2004;2005
