id;pikk_mudel;kytus;kaigukast;alates;kuni
17343;"9-3 Cabriolet S 2.0";B;H5;1998;2000
17344;"9-3 Cabriolet S 2.0";B;A4;1998;2000
17345;"9-3 Cabriolet SE 2.0";B;H5;1998;2000
17345;"9-3 Cabriolet SE 2.0";B;H5;1998;2000
17346;"9-3 Cabriolet SE 2.0";B;A4;1998;2000
17347;"9-3 Cabriolet S 2.0 t";B;H5;1998;2000
17348;"9-3 Cabriolet S 2.0 t";B;A4;1998;2000
17348;"9-3 Cabriolet S 2.0 t";B;A4;1998;2000
17349;"9-3 Cabriolet SE 2.0 t";B;H5;1998;2000
17350;"9-3 Cabriolet SE 2.0 t";B;A4;1998;2000
22009;"9-3 Cabriolet S 2.0 t";B;H5;2000;2002
22009;"9-3 Cabriolet S 2.0 t";B;H5;2000;2002
22010;"9-3 Cabriolet S 2.0 t";B;A4;2000;2002
27240;"9-3 Cabriolet Senses 2.0 t";B;H5;2002;2002
27239;"9-3 Cabriolet Senses 2.0 t";B;A4;2002;2002
27239;"9-3 Cabriolet Senses 2.0 t";B;A4;2002;2002
22011;"9-3 Cabriolet S 2.0 t Luxury";B;H5;2000;2001
22012;"9-3 Cabriolet S 2.0 t Luxury";B;A4;2000;2001
24561;"9-3 Cabriolet SE 2.0 t Anniversary";B;H5;2001;2003
24561;"9-3 Cabriolet SE 2.0 t Anniversary";B;H5;2001;2003
24560;"9-3 Cabriolet SE 2.0 t Anniversary";B;A4;2001;2003
22013;"9-3 Cabriolet SE 2.0 t";B;H5;2000;2001
22014;"9-3 Cabriolet SE 2.0 t";B;A4;2000;2001
22014;"9-3 Cabriolet SE 2.0 t";B;A4;2000;2001
17351;"9-3 Cabriolet S 2.3";B;H5;1998;1998
17352;"9-3 Cabriolet S 2.3";B;A4;1998;1998
17353;"9-3 Cabriolet SE 2.3";B;H5;1998;1998
17353;"9-3 Cabriolet SE 2.3";B;H5;1998;1998
17354;"9-3 Cabriolet SE 2.3";B;A4;1998;1998
17355;"9-3 Cabriolet S 2.0 Turbo";B;H5;1998;1999
17356;"9-3 Cabriolet S 2.0 Turbo";B;A4;1998;1999
17356;"9-3 Cabriolet S 2.0 Turbo";B;A4;1998;1999
17357;"9-3 Cabriolet SE 2.0 Turbo";B;H5;1998;1999
17358;"9-3 Cabriolet SE 2.0 Turbo";B;A4;1998;1999
17359;"9-3 Cabriolet SE 2.0 Turbo FSP";B;A4;1998;1999
17359;"9-3 Cabriolet SE 2.0 Turbo FSP";B;A4;1998;1999
17360;"9-3 Cabriolet S 2.0 Turbo 200pk";B;H5;1998;1999
17361;"9-3 Cabriolet SE 2.0 Turbo 200pk";B;H5;1998;1999
17362;"9-3 Cabriolet SE 2.0 Turbo 200pk FSP";B;H5;1998;1999
17362;"9-3 Cabriolet SE 2.0 Turbo 200pk FSP";B;H5;1998;1999
19483;"9-3 Cabriolet S 2.0 Turbo";B;H5;1999;2000
19484;"9-3 Cabriolet S 2.0 Turbo";B;A4;1999;2000
19485;"9-3 Cabriolet SE 2.0 Turbo";B;H5;1999;2000
19485;"9-3 Cabriolet SE 2.0 Turbo";B;H5;1999;2000
19486;"9-3 Cabriolet SE 2.0 Turbo";B;A4;1999;2000
19487;"9-3 Cabriolet SE Aero 2.0 Turbo";B;H5;1999;2000
19488;"9-3 Cabriolet SE Aero 2.0 Turbo";B;A4;1999;2000
19488;"9-3 Cabriolet SE Aero 2.0 Turbo";B;A4;1999;2000
22015;"9-3 Cabriolet S 2.0 Turbo";B;H5;2000;2002
22016;"9-3 Cabriolet S 2.0 Turbo";B;A4;2000;2002
27242;"9-3 Cabriolet Senses 2.0 Turbo";B;H5;2002;2002
27242;"9-3 Cabriolet Senses 2.0 Turbo";B;H5;2002;2002
27241;"9-3 Cabriolet Senses 2.0 Turbo";B;A4;2002;2002
22017;"9-3 Cabriolet S 2.0 Turbo Luxury";B;H5;2000;2001
22018;"9-3 Cabriolet S 2.0 Turbo Luxury";B;A4;2000;2001
22018;"9-3 Cabriolet S 2.0 Turbo Luxury";B;A4;2000;2001
24563;"9-3 Cabriolet SE 2.0 Turbo Anniversary";B;H5;2001;2002
24562;"9-3 Cabriolet SE 2.0 Turbo Anniversary";B;A4;2001;2002
28880;"9-3 Cabriolet SE 2.0 Turbo Sport Edition";B;H5;2002;2003
28880;"9-3 Cabriolet SE 2.0 Turbo Sport Edition";B;H5;2002;2003
28879;"9-3 Cabriolet SE 2.0 Turbo Sport Edition";B;A4;2002;2003
22019;"9-3 Cabriolet SE 2.0 Turbo";B;H5;2000;2001
22020;"9-3 Cabriolet SE 2.0 Turbo";B;A4;2000;2001
22020;"9-3 Cabriolet SE 2.0 Turbo";B;A4;2000;2001
22021;"9-3 Cabriolet Aero 2.0 Turbo";B;H5;2000;2003
22022;"9-3 Cabriolet Aero 2.0 Turbo";B;A4;2000;2003
19489;"9-3 Cabriolet Viggen";B;H5;1999;2000
19489;"9-3 Cabriolet Viggen";B;H5;1999;2000
