id;pikk_mudel;kytus;kaigukast;alates;kuni
10559;"900 S 2.0i Cabriolet";B;H5;1994;1998
10560;"900 S 2.0i Cabriolet";B;A4;1994;1998
15342;"900 SE 2.0i Cabriolet";B;H5;1997;1998
15342;"900 SE 2.0i Cabriolet";B;H5;1997;1998
15343;"900 SE 2.0i Cabriolet";B;A4;1997;1998
15344;"900 SE 2.0i Talladega Cabriolet";B;H5;1997;1998
15345;"900 SE 2.0i Talladega Cabriolet";B;A4;1997;1998
15345;"900 SE 2.0i Talladega Cabriolet";B;A4;1997;1998
13561;"900 S 2.3i Cabriolet";B;H5;1996;1998
13562;"900 S 2.3i Cabriolet";B;A4;1996;1998
10561;"900 SE 2.3i Cabriolet";B;H5;1994;1998
10561;"900 SE 2.3i Cabriolet";B;H5;1994;1998
10562;"900 SE 2.3i Cabriolet";B;A4;1994;1998
15346;"900 SE 2.3i Talladega Cabriolet";B;H5;1997;1998
15347;"900 SE 2.3i Talladega Cabriolet";B;A4;1997;1998
15347;"900 SE 2.3i Talladega Cabriolet";B;A4;1997;1998
10563;"900 SE 2.0i Turbo Cabriolet";B;H5;1994;1998
12068;"900 SE 2.0i Turbo Cabriolet";B;A5;1995;1998
15348;"900 SE 2.0i Turbo Talladega Cabriolet";B;H5;1997;1998
15348;"900 SE 2.0i Turbo Talladega Cabriolet";B;H5;1997;1998
15349;"900 SE 2.0i Turbo Talladega Cabriolet";B;A5;1997;1998
10564;"900 SE 2.5i V6 Cabriolet";B;H5;1994;1996
10565;"900 SE 2.5i V6 Cabriolet";B;A4;1994;1997
10565;"900 SE 2.5i V6 Cabriolet";B;A4;1994;1997
