id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1003;Ibiza;"3-deurs hatchback";1985;1991;615;Ibiza;124724
1005;Ibiza;"5-deurs hatchback";1987;1991;615;Ibiza;0
1007;Ibiza;"3-deurs hatchback";1991;1993;615;Ibiza;20004
1008;Ibiza;"5-deurs hatchback";1991;1993;615;Ibiza;20007
1012;Ibiza;"5-deurs hatchback";1993;1996;615;Ibiza;20530
1010;Ibiza;"3-deurs hatchback";1993;1996;615;Ibiza;20527
1014;Ibiza;"3-deurs hatchback";1996;1999;615;Ibiza;21555
1016;Ibiza;"5-deurs hatchback";1996;1999;615;Ibiza;21560
1018;Ibiza;"3-deurs hatchback";1999;2002;615;Ibiza;23160
1021;Ibiza;"5-deurs hatchback";1999;2002;615;Ibiza;23164
1029;Ibiza;"5-deurs hatchback";2002;2006;615;Ibiza;25557
1025;Ibiza;"3-deurs hatchback";2002;2006;615;Ibiza;25549
1032;Ibiza;"3-deurs hatchback";2006;2009;615;Ibiza;29492
1037;Ibiza;"5-deurs hatchback";2006;2009;615;Ibiza;29512
2980;Ibiza;"5-deurs hatchback";2008;2012;615;Ibiza;55828
3688;Ibiza;"5-deurs hatchback";2012;heden;615;Ibiza;131112
3000;"Ibiza SC";"3-deurs hatchback";2008;2012;615;Ibiza;60450
3689;"Ibiza SC";"3-deurs hatchback";2012;heden;615;Ibiza;131106
3344;"Ibiza ST";"5-deurs stationwagon";2010;2012;615;Ibiza;121907
3690;"Ibiza ST";"5-deurs stationwagon";2012;heden;615;Ibiza;131114
