id;pikk_mudel;kytus;kaigukast;alates;kuni
22084;"Alhambra 2.0 Stella";B;H6;2000;2004
22085;"Alhambra 2.0 Stella";B;A4;2000;2004
32912;"Alhambra 2.0 Reference";B;H6;2004;2008
32912;"Alhambra 2.0 Reference";B;H6;2004;2008
32911;"Alhambra 2.0 Reference";B;A4;2004;2008
47762;"Alhambra 2.0 Urbanstyle";B;H6;2008;2008
49429;"Alhambra 2.0 Active Style";B;H6;2008;2010
49429;"Alhambra 2.0 Active Style";B;H6;2008;2010
49430;"Alhambra 2.0 Dynamic Style";B;H6;2008;2010
44247;"Alhambra 2.0 Expedition";B;H6;2007;2007
44248;"Alhambra 2.0 Expedition";B;A4;2007;2007
44248;"Alhambra 2.0 Expedition";B;A4;2007;2007
35025;"Alhambra 2.0 Sportrider";B;H6;2005;2005
35024;"Alhambra 2.0 Sportrider";B;A4;2005;2005
22086;"Alhambra 1.8 20VT Stella";B;H6;2000;2004
22086;"Alhambra 1.8 20VT Stella";B;H6;2000;2004
22087;"Alhambra 1.8 20VT Stella";B;A5;2000;2004
32914;"Alhambra 1.8 20VT Reference";B;H6;2004;2008
32913;"Alhambra 1.8 20VT Reference";B;A5;2004;2005
32913;"Alhambra 1.8 20VT Reference";B;A5;2004;2005
47763;"Alhambra 1.8 20VT Urbanstyle";B;H6;2008;2008
47764;"Alhambra 1.8 20VT Urbanstyle";B;A5;2008;2008
49431;"Alhambra 1.8 20VT Active Style";B;H6;2008;2010
49431;"Alhambra 1.8 20VT Active Style";B;H6;2008;2010
49432;"Alhambra 1.8 20VT Active Style";B;A5;2008;2010
55317;"Alhambra 1.8 20VT Advantage";B;H6;2010;2010
49434;"Alhambra 1.8 20VT Dynamic Style";B;H6;2008;2010
49434;"Alhambra 1.8 20VT Dynamic Style";B;H6;2008;2010
49433;"Alhambra 1.8 20VT Dynamic Style";B;A5;2008;2010
55318;"Alhambra 1.8 20VT Elegance";B;H6;2010;2010
44249;"Alhambra 1.8 20VT Expedition";B;H6;2007;2007
44249;"Alhambra 1.8 20VT Expedition";B;H6;2007;2007
34800;"Alhambra 1.8 20VT Sportrider";B;H6;2005;2005
22088;"Alhambra 1.8 20VT Sport";B;H6;2000;2005
22089;"Alhambra 1.8 20VT Sport";B;A5;2000;2005
22089;"Alhambra 1.8 20VT Sport";B;A5;2000;2005
22090;"Alhambra 1.8 20VT Signo";B;H6;2000;2004
22091;"Alhambra 1.8 20VT Signo";B;A5;2000;2004
