id;pikk_mudel;kytus;kaigukast;alates;kuni
10599;"Cordoba 1.4i CLX";B;H5;1994;1996
12080;"Cordoba 1.4i S";B;H5;1995;1996
10600;"Cordoba 1.6i CLX";B;H5;1994;1996
10600;"Cordoba 1.6i CLX";B;H5;1994;1996
12081;"Cordoba 1.6i S";B;H5;1995;1996
10601;"Cordoba 1.6i GLX";B;H5;1994;1996
10602;"Cordoba 1.8i GLX";B;H5;1994;1996
10602;"Cordoba 1.8i GLX";B;H5;1994;1996
10603;"Cordoba 1.8i GLX";B;A4;1994;1996
10604;"Cordoba 2.0 GTi";B;H5;1994;1996
10605;"Cordoba 1.8 GTi-16V";B;H5;1994;1996
10605;"Cordoba 1.8 GTi-16V";B;H5;1994;1996
10606;"Cordoba 1.9 D CLX";D;H5;1994;1996
10607;"Cordoba 1.9 D GLX";D;H5;1994;1996
10608;"Cordoba 1.9 TD GLX";D;H5;1994;1996
10608;"Cordoba 1.9 TD GLX";D;H5;1994;1996
10609;"Cordoba 1.9 TD GT";D;H5;1994;1996
