id;pikk_mudel;kytus;kaigukast;alates;kuni
19557;"Ibiza 1.4 Select";B;H5;1999;2002
19558;"Ibiza 1.4 Stella";B;H5;1999;2002
19559;"Ibiza 1.4 Stella +";B;H5;1999;2002
19559;"Ibiza 1.4 Stella +";B;H5;1999;2002
22044;"Ibiza 1.4 16V Stella";B;H5;2000;2002
22045;"Ibiza 1.4 16V Stella +";B;H5;2000;2002
22046;"Ibiza 1.4 16V Signo";B;H5;2000;2002
22046;"Ibiza 1.4 16V Signo";B;H5;2000;2002
19560;"Ibiza 1.6 75pk Stella";B;H5;1999;2000
19561;"Ibiza 1.6 75pk Stella +";B;H5;1999;2000
19562;"Ibiza 1.6 75pk Signo";B;H5;1999;2000
19562;"Ibiza 1.6 75pk Signo";B;H5;1999;2000
19563;"Ibiza 1.6 100pk Stella";B;A4;1999;2000
19564;"Ibiza 1.6 100pk Stella +";B;A4;1999;2000
19565;"Ibiza 1.6 100pk Signo";B;A4;1999;2000
19565;"Ibiza 1.6 100pk Signo";B;A4;1999;2000
19566;"Ibiza 1.6 100pk Sport";B;H5;1999;2002
19567;"Ibiza 1.9 SDi Select";D;H5;1999;2002
19568;"Ibiza 1.9 SDi Stella";D;H5;1999;2002
19568;"Ibiza 1.9 SDi Stella";D;H5;1999;2002
19569;"Ibiza 1.9 SDi Stella +";D;H5;1999;2002
19570;"Ibiza 1.9 TDi 90pk Stella";D;H5;1999;2002
19571;"Ibiza 1.9 TDi 90pk Stella +";D;H5;1999;2002
19571;"Ibiza 1.9 TDi 90pk Stella +";D;H5;1999;2002
19572;"Ibiza 1.9 TDi 90pk Signo";D;H5;1999;2002
19573;"Ibiza 1.9 TDi 110pk Signo";D;H5;1999;2002
19574;"Ibiza 1.9 TDi 110pk Sport";D;H5;1999;2002
19574;"Ibiza 1.9 TDi 110pk Sport";D;H5;1999;2002
