id;pikk_mudel;kytus;kaigukast;alates;kuni
70388;"Leon 1.2 TSI 85pk Entry";B;H5;2013;heden
70391;"Leon 1.2 TSI 85pk Reference";B;H5;2013;heden
75153;"Leon 1.2 TSI 85pk Enjoy";B;H5;2013;heden
75153;"Leon 1.2 TSI 85pk Enjoy";B;H5;2013;heden
70392;"Leon 1.2 TSI 105pk Reference";B;H6;2013;heden
70394;"Leon 1.2 TSI 105pk Style";B;H6;2013;heden
70393;"Leon 1.2 TSI 105pk Style";B;A7;2013;heden
70393;"Leon 1.2 TSI 105pk Style";B;A7;2013;heden
73116;"Leon 1.2 TSI 105pk Style Business";B;H6;2013;heden
73117;"Leon 1.2 TSI 105pk Style Business";B;A7;2013;heden
70395;"Leon 1.4 TSI 122pk Style";B;H6;2013;heden
70395;"Leon 1.4 TSI 122pk Style";B;H6;2013;heden
73118;"Leon 1.4 TSI 122pk Style Business";B;H6;2013;heden
70396;"Leon 1.4 TSI 122pk FR";B;H6;2013;heden
73119;"Leon 1.4 TSI 122pk FR Business";B;H6;2013;heden
73119;"Leon 1.4 TSI 122pk FR Business";B;H6;2013;heden
70397;"Leon 1.4 TSI 140pk FR";B;H6;2013;heden
73120;"Leon 1.4 TSI 140pk FR Business";B;H6;2013;heden
70398;"Leon 1.8 TSI FR";B;H6;2013;heden
70398;"Leon 1.8 TSI FR";B;H6;2013;heden
70399;"Leon 1.8 TSI FR";B;A7;2013;heden
73121;"Leon 1.8 TSI FR Business";B;H6;2013;heden
73122;"Leon 1.8 TSI FR Business";B;A7;2013;heden
73122;"Leon 1.8 TSI FR Business";B;A7;2013;heden
70400;"Leon 1.6 TDI Reference";D;H5;2013;2014
70401;"Leon 1.6 TDI Style";D;H5;2013;2014
70402;"Leon 1.6 TDI Style";D;A7;2013;heden
70402;"Leon 1.6 TDI Style";D;A7;2013;heden
73123;"Leon 1.6 TDI Style Business";D;H5;2013;2014
73124;"Leon 1.6 TDI Style Business";D;A7;2013;heden
73259;"Leon 1.6 TDI Ecomotive Reference";D;H6;2013;2014
73259;"Leon 1.6 TDI Ecomotive Reference";D;H6;2013;2014
74677;"Leon 1.6 TDI Ecomotive Limited Edition I";D;H6;2013;2014
73260;"Leon 1.6 TDI Ecomotive Style";D;H6;2013;2014
74678;"Leon 1.6 TDI Ecomotive Limited Edition II";D;H6;2013;2014
74678;"Leon 1.6 TDI Ecomotive Limited Edition II";D;H6;2013;2014
73261;"Leon 1.6 TDI Ecomotive Style Business";D;H6;2013;2014
75273;"Leon 1.6 TDI Ecomotive Reference";D;H6;2014;heden
75480;"Leon 1.6 TDI Ecomotive Limited Edition I";D;H6;2014;heden
75480;"Leon 1.6 TDI Ecomotive Limited Edition I";D;H6;2014;heden
75274;"Leon 1.6 TDI Ecomotive Style";D;H6;2014;heden
75481;"Leon 1.6 TDI Ecomotive Limited Edition II";D;H6;2014;heden
75484;"Leon 1.6 TDI Ecomotive Limited Edition III";D;H6;2014;heden
75484;"Leon 1.6 TDI Ecomotive Limited Edition III";D;H6;2014;heden
75275;"Leon 1.6 TDI Ecomotive Style Business";D;H6;2014;heden
70403;"Leon 2.0 TDI 150pk Style";D;H6;2013;heden
70404;"Leon 2.0 TDI 150pk Style";D;A6;2013;heden
70404;"Leon 2.0 TDI 150pk Style";D;A6;2013;heden
73125;"Leon 2.0 TDI 150pk Style Business";D;H6;2013;heden
73126;"Leon 2.0 TDI 150pk Style Business";D;A6;2013;heden
70405;"Leon 2.0 TDI 150pk FR";D;H6;2013;heden
70405;"Leon 2.0 TDI 150pk FR";D;H6;2013;heden
70406;"Leon 2.0 TDI 150pk FR";D;A6;2013;heden
73127;"Leon 2.0 TDI 150pk FR Business";D;H6;2013;heden
73128;"Leon 2.0 TDI 150pk FR Business";D;A6;2013;heden
73128;"Leon 2.0 TDI 150pk FR Business";D;A6;2013;heden
70407;"Leon 2.0 TDI 184pk FR";D;H6;2013;heden
76130;"Leon 2.0 TDI 184pk FR";D;A6;2014;heden
73129;"Leon 2.0 TDI 184pk FR Business";D;H6;2013;heden
73129;"Leon 2.0 TDI 184pk FR Business";D;H6;2013;heden
76131;"Leon 2.0 TDI 184pk FR Business";D;A6;2014;heden
