id;pikk_mudel;kytus;kaigukast;alates;kuni
7430;"Toledo 1.6i CL";B;H5;1991;1994
10610;"Toledo 1.6i CL";B;H5;1994;1995
7431;"Toledo 1.8i CL";B;H5;1991;1994
7431;"Toledo 1.8i CL";B;H5;1991;1994
7432;"Toledo 1.8i GL";B;H5;1991;1994
7433;"Toledo 1.8i GLX";B;H5;1991;1994
10611;"Toledo 1.8i CL";B;H5;1994;1995
10611;"Toledo 1.8i CL";B;H5;1994;1995
10612;"Toledo 1.8i GL";B;H5;1994;1995
10613;"Toledo 1.8i GLX";B;H5;1994;1995
8289;"Toledo 2.0i GL";B;H5;1992;1995
8289;"Toledo 2.0i GL";B;H5;1992;1995
7434;"Toledo 2.0i GLX";B;H5;1991;1995
10614;"Toledo 2.0i GLX";B;A4;1994;1995
7435;"Toledo 2.0i GT";B;H5;1991;1995
7435;"Toledo 2.0i GT";B;H5;1991;1995
7436;"Toledo 1.8 GTi-16V";B;H5;1991;1994
10615;"Toledo 2.0i GT 16V";B;H5;1994;1995
7437;"Toledo 1.9 D CL";D;H5;1991;1995
7437;"Toledo 1.9 D CL";D;H5;1991;1995
7438;"Toledo 1.9 TD GL";D;H5;1991;1995
8290;"Toledo 1.9 TD GLX";D;H5;1992;1995
