id;pikk_mudel;kytus;kaigukast;alates;kuni
33109;"Fabia 1.2 6V Classic";B;H5;2004;2007
33111;"Fabia 1.2 12V Ambiente";B;H5;2004;2007
44620;"Fabia 1.2 12V Spirit";B;H5;2006;2007
44620;"Fabia 1.2 12V Spirit";B;H5;2006;2007
43200;"Fabia 1.2 12V Equipe";B;H5;2005;2007
33114;"Fabia 1.2 12V Elegance";B;H5;2004;2007
33198;"Fabia 1.2 12V L&amp;K";B;H5;2004;2007
33198;"Fabia 1.2 12V L&amp;K";B;H5;2004;2007
33118;"Fabia 1.4 16V 75pk Ambiente";B;H5;2004;2007
33117;"Fabia 1.4 16V 75pk Ambiente";B;A4;2004;2005
44622;"Fabia 1.4 16V 75pk Spirit";B;H5;2006;2007
44622;"Fabia 1.4 16V 75pk Spirit";B;H5;2006;2007
44623;"Fabia 1.4 16V 75pk Spirit Plus";B;H5;2006;2007
43201;"Fabia 1.4 16V 75pk Equipe";B;H5;2005;2007
33124;"Fabia 1.4 16V 75pk Elegance";B;H5;2004;2007
33124;"Fabia 1.4 16V 75pk Elegance";B;H5;2004;2007
33123;"Fabia 1.4 16V 75pk Elegance";B;A4;2004;2007
33200;"Fabia 1.4 16V 75pk L&amp;K";B;H5;2004;2007
33199;"Fabia 1.4 16V 75pk L&amp;K";B;A4;2004;2007
33199;"Fabia 1.4 16V 75pk L&amp;K";B;A4;2004;2007
33130;"Fabia 1.4 16V 100pk Ambiente";B;H5;2004;2007
44629;"Fabia 1.4 16V 100pk Spirit Plus";B;H5;2006;2007
43202;"Fabia 1.4 16V 100pk Equipe Plus";B;H5;2005;2007
43202;"Fabia 1.4 16V 100pk Equipe Plus";B;H5;2005;2007
33129;"Fabia 1.4 16V 100pk Elegance";B;H5;2004;2007
33201;"Fabia 1.4 16V 100pk L&amp;K";B;H5;2004;2007
33135;"Fabia 2.0 Elegance";B;H5;2004;2007
33135;"Fabia 2.0 Elegance";B;H5;2004;2007
33202;"Fabia 2.0 L&amp;K";B;H5;2004;2007
33138;"Fabia 1.9 SDI Classic";D;H5;2004;2005
33141;"Fabia 1.9 SDI Ambiente";D;H5;2004;2005
33141;"Fabia 1.9 SDI Ambiente";D;H5;2004;2005
33144;"Fabia 1.9 SDI Elegance";D;H5;2004;2005
33203;"Fabia 1.9 SDI L&amp;K";D;H5;2004;2005
38582;"Fabia 1.4 TDI 70pk Classic";D;H5;2005;2007
38582;"Fabia 1.4 TDI 70pk Classic";D;H5;2005;2007
38583;"Fabia 1.4 TDI 70pk Ambiente";D;H5;2005;2007
38584;"Fabia 1.4 TDI 70pk Elegance";D;H5;2005;2007
38585;"Fabia 1.4 TDI 70pk L&amp;K";D;H5;2005;2007
38585;"Fabia 1.4 TDI 70pk L&amp;K";D;H5;2005;2007
33147;"Fabia 1.4 TDI 75pk Ambiente";D;H5;2004;2005
33150;"Fabia 1.4 TDI 75pk Elegance";D;H5;2004;2005
33204;"Fabia 1.4 TDI 75pk L&amp;K";D;H5;2004;2005
33204;"Fabia 1.4 TDI 75pk L&amp;K";D;H5;2004;2005
38586;"Fabia 1.4 TDI 80pk Ambiente";D;H5;2005;2007
44631;"Fabia 1.4 TDI 80pk Spirit Plus";D;H5;2006;2007
43203;"Fabia 1.4 TDI 80pk Equipe Plus";D;H5;2005;2007
43203;"Fabia 1.4 TDI 80pk Equipe Plus";D;H5;2005;2007
38587;"Fabia 1.4 TDI 80pk Elegance";D;H5;2005;2007
38588;"Fabia 1.4 TDI 80pk L&amp;K";D;H5;2005;2007
44632;"Fabia 1.9 TDI Spirit Plus";D;H5;2006;2007
44632;"Fabia 1.9 TDI Spirit Plus";D;H5;2006;2007
43204;"Fabia 1.9 TDI Equipe Plus";D;H5;2005;2007
33153;"Fabia 1.9 TDI Elegance";D;H5;2004;2007
33205;"Fabia 1.9 TDI L&amp;K";D;H5;2004;2007
33205;"Fabia 1.9 TDI L&amp;K";D;H5;2004;2007
33848;"Fabia 1.9 TDI 130pk RS";D;H6;2004;2007
