id;pikk_mudel;kytus;kaigukast;alates;kuni
51218;"Octavia 1.4 Go";B;H5;2009;2011
63626;"Octavia 1.4 Active";B;H5;2011;2012
51220;"Octavia 1.4 Comfort";B;H5;2009;2012
51220;"Octavia 1.4 Comfort";B;H5;2009;2012
51224;"Octavia 1.6 Go";B;H5;2009;2010
51223;"Octavia 1.6 Comfort";B;H5;2009;2010
51222;"Octavia 1.6 Ambition";B;H5;2009;2010
51222;"Octavia 1.6 Ambition";B;H5;2009;2010
54410;"Octavia 1.6 Ambition Businessline";B;H5;2009;2010
55444;"Octavia 1.2 TSI Go";B;H6;2010;2011
63627;"Octavia 1.2 TSI Active";B;H6;2011;2012
63627;"Octavia 1.2 TSI Active";B;H6;2011;2012
55445;"Octavia 1.2 TSI Comfort";B;H6;2010;2012
55446;"Octavia 1.2 TSI Comfort";B;A7;2010;2012
68599;"Octavia 1.2 TSI Comfort Businessline";B;H6;2012;2012
68599;"Octavia 1.2 TSI Comfort Businessline";B;H6;2012;2012
55447;"Octavia 1.2 TSI Ambition";B;H6;2010;2012
55448;"Octavia 1.2 TSI Ambition";B;A7;2010;2012
55449;"Octavia 1.2 TSI Ambition Businessline";B;H6;2010;2012
55449;"Octavia 1.2 TSI Ambition Businessline";B;H6;2010;2012
55450;"Octavia 1.2 TSI Ambition Businessline";B;A7;2010;2012
70230;"Octavia 1.2 TSI Arctic";B;H6;2012;2013
70231;"Octavia 1.2 TSI Arctic";B;A7;2012;2013
70231;"Octavia 1.2 TSI Arctic";B;A7;2012;2013
68654;"Octavia 1.2 TSI Tour Businessline";B;H6;2012;2012
55451;"Octavia 1.2 TSI Elegance";B;H6;2010;2012
55452;"Octavia 1.2 TSI Elegance";B;A7;2010;2012
55452;"Octavia 1.2 TSI Elegance";B;A7;2010;2012
55453;"Octavia 1.2 TSI Elegance Businessline";B;H6;2010;2012
55454;"Octavia 1.2 TSI Elegance Businessline";B;A7;2010;2012
51231;"Octavia 1.4 TSI Ambition";B;H6;2009;2011
51231;"Octavia 1.4 TSI Ambition";B;H6;2009;2011
51230;"Octavia 1.4 TSI Ambition";B;A7;2009;2012
54412;"Octavia 1.4 TSI Ambition Businessline";B;H6;2009;2011
54413;"Octavia 1.4 TSI Ambition Businessline";B;A7;2009;2012
54413;"Octavia 1.4 TSI Ambition Businessline";B;A7;2009;2012
51229;"Octavia 1.4 TSI Elegance";B;H6;2009;2011
51228;"Octavia 1.4 TSI Elegance";B;A7;2009;2012
54414;"Octavia 1.4 TSI Elegance Businessline";B;H6;2009;2011
54414;"Octavia 1.4 TSI Elegance Businessline";B;H6;2009;2011
54415;"Octavia 1.4 TSI Elegance Businessline";B;A7;2009;2012
62174;"Octavia 1.4 TSI Greentech Ambition";B;H6;2011;2012
62175;"Octavia 1.4 TSI Greentech Ambition Businessline";B;H6;2011;2012
62175;"Octavia 1.4 TSI Greentech Ambition Businessline";B;H6;2011;2012
70232;"Octavia 1.4 TSI Greentech Arctic";B;H6;2012;2013
62176;"Octavia 1.4 TSI Greentech Elegance";B;H6;2011;2012
68655;"Octavia 1.4 TSI Greentech Tour Businessline";B;H6;2012;2012
68655;"Octavia 1.4 TSI Greentech Tour Businessline";B;H6;2012;2012
62177;"Octavia 1.4 TSI Greentech Elegance Businessline";B;H6;2011;2012
51241;"Octavia 1.8 TSI Ambition";B;H6;2009;2012
51240;"Octavia 1.8 TSI Ambition";B;A6;2009;2012
51240;"Octavia 1.8 TSI Ambition";B;A6;2009;2012
54416;"Octavia 1.8 TSI Ambition Businessline";B;H6;2009;2012
54417;"Octavia 1.8 TSI Ambition Businessline";B;A6;2009;2012
51239;"Octavia 1.8 TSI Elegance";B;H6;2009;2012
51239;"Octavia 1.8 TSI Elegance";B;H6;2009;2012
51238;"Octavia 1.8 TSI Elegance";B;A6;2009;2012
54418;"Octavia 1.8 TSI Elegance Businessline";B;H6;2009;2012
54419;"Octavia 1.8 TSI Elegance Businessline";B;A6;2009;2012
54419;"Octavia 1.8 TSI Elegance Businessline";B;A6;2009;2012
51237;"Octavia 1.8 TSI L&amp;K";B;H6;2009;2012
51236;"Octavia 1.8 TSI L&amp;K";B;A6;2009;2012
53125;"Octavia 2.0 TSI RS";B;H6;2009;2013
53125;"Octavia 2.0 TSI RS";B;H6;2009;2013
53126;"Octavia 2.0 TSI RS";B;A6;2009;2013
53334;"Octavia 1.6 TDI Go";D;H5;2009;2010
53335;"Octavia 1.6 TDI Comfort";D;H5;2009;2010
53335;"Octavia 1.6 TDI Comfort";D;H5;2009;2010
53336;"Octavia 1.6 TDI Ambition";D;H5;2009;2010
55455;"Octavia 1.6 TDI Ambition";D;A7;2010;2012
54428;"Octavia 1.6 TDI Ambition Businessline";D;H5;2009;2010
54428;"Octavia 1.6 TDI Ambition Businessline";D;H5;2009;2010
55456;"Octavia 1.6 TDI Ambition Businessline";D;A7;2010;2012
53337;"Octavia 1.6 TDI Elegance";D;H5;2009;2010
55457;"Octavia 1.6 TDI Elegance";D;A7;2010;2012
55457;"Octavia 1.6 TDI Elegance";D;A7;2010;2012
