id;pikk_mudel;kytus;kaigukast;alates;kuni
75240;"Rapid Spaceback 1.2 TSI 85pk Greentech Active";B;H5;2013;heden
75242;"Rapid Spaceback 1.2 TSI 85pk Greentech Comfort";B;H5;2013;heden
75243;"Rapid Spaceback 1.2 TSI 85pk Greentech Ambition";B;H5;2013;heden
75243;"Rapid Spaceback 1.2 TSI 85pk Greentech Ambition";B;H5;2013;heden
75384;"Rapid Spaceback 1.2 TSI 85pk Greentech Ambition Bu";B;H5;2013;heden
75396;"Rapid Spaceback 1.2 TSI 85pk Greentech Ambition Bu";B;H5;2013;heden
75244;"Rapid Spaceback 1.2 TSI 85pk Greentech Elegance";B;H5;2013;heden
75244;"Rapid Spaceback 1.2 TSI 85pk Greentech Elegance";B;H5;2013;heden
75385;"Rapid Spaceback 1.2 TSI 85pk Greentech Elegance Bu";B;H5;2013;heden
75397;"Rapid Spaceback 1.2 TSI 85pk Greentech Elegance Bu";B;H5;2013;heden
75246;"Rapid Spaceback 1.2 TSI 105pk Greentech Ambition";B;H6;2013;heden
75246;"Rapid Spaceback 1.2 TSI 105pk Greentech Ambition";B;H6;2013;heden
75386;"Rapid Spaceback 1.2 TSI 105pk Greentech Ambition B";B;H6;2013;heden
75245;"Rapid Spaceback 1.2 TSI 105pk Greentech Elegance";B;H6;2013;heden
75387;"Rapid Spaceback 1.2 TSI 105pk Greentech Elegance B";B;H6;2013;heden
75387;"Rapid Spaceback 1.2 TSI 105pk Greentech Elegance B";B;H6;2013;heden
75248;"Rapid Spaceback 1.4 TSI Greentech Ambition";B;A7;2013;heden
75388;"Rapid Spaceback 1.4 TSI Greentech Ambition Busines";B;A7;2013;heden
75247;"Rapid Spaceback 1.4 TSI Greentech Elegance";B;A7;2013;heden
75247;"Rapid Spaceback 1.4 TSI Greentech Elegance";B;A7;2013;heden
75389;"Rapid Spaceback 1.4 TSI Greentech Elegance Busines";B;A7;2013;heden
76166;"Rapid Spaceback 1.6 TDI 90pk Greenline";D;H5;2014;heden
75251;"Rapid Spaceback 1.6 TDI 90pk Greentech Ambition";D;H5;2013;heden
75251;"Rapid Spaceback 1.6 TDI 90pk Greentech Ambition";D;H5;2013;heden
75390;"Rapid Spaceback 1.6 TDI 90pk Greentech Ambition Bu";D;H5;2013;heden
75252;"Rapid Spaceback 1.6 TDI 90pk Greentech Elegance";D;H5;2013;heden
75391;"Rapid Spaceback 1.6 TDI 90pk Greentech Elegance Bu";D;H5;2013;heden
75391;"Rapid Spaceback 1.6 TDI 90pk Greentech Elegance Bu";D;H5;2013;heden
75253;"Rapid Spaceback 1.6 TDI 90pk Ambition";D;A7;2013;heden
75392;"Rapid Spaceback 1.6 TDI 90pk Ambition Businessline";D;A7;2013;heden
75254;"Rapid Spaceback 1.6 TDI 90pk Elegance";D;A7;2013;heden
75254;"Rapid Spaceback 1.6 TDI 90pk Elegance";D;A7;2013;heden
75393;"Rapid Spaceback 1.6 TDI 90pk Elegance Businessline";D;A7;2013;heden
75250;"Rapid Spaceback 1.6 TDI 105pk Ambition";D;H5;2013;heden
75394;"Rapid Spaceback 1.6 TDI 105pk Ambition Businesslin";D;H5;2013;heden
75394;"Rapid Spaceback 1.6 TDI 105pk Ambition Businesslin";D;H5;2013;heden
75249;"Rapid Spaceback 1.6 TDI 105pk Elegance";D;H5;2013;heden
75395;"Rapid Spaceback 1.6 TDI 105pk Elegance Businesslin";D;H5;2013;heden
