id;pikk_mudel;kytus;kaigukast;alates;kuni
49496;"Superb 1.4 TSI Comfort";B;H6;2008;2011
54469;"Superb 1.4 TSI Comfort Businessline";B;H6;2009;2011
49499;"Superb 1.4 TSI Ambition";B;H6;2008;2011
49499;"Superb 1.4 TSI Ambition";B;H6;2008;2011
54450;"Superb 1.4 TSI Ambition Businessline";B;H6;2009;2011
63628;"Superb 1.4 TSI Greentech Active";B;H6;2011;2013
63629;"Superb 1.4 TSI Greentech Active Businessline";B;H6;2011;2013
63629;"Superb 1.4 TSI Greentech Active Businessline";B;H6;2011;2013
63630;"Superb 1.4 TSI Greentech Ambition";B;H6;2011;2013
63631;"Superb 1.4 TSI Greentech Ambition Businessline";B;H6;2011;2013
69068;"Superb 1.4 TSI Greentech Tour Businessline";B;H6;2012;2012
69068;"Superb 1.4 TSI Greentech Tour Businessline";B;H6;2012;2012
49500;"Superb 1.8 TSI Comfort";B;H6;2008;2011
50982;"Superb 1.8 TSI Comfort";B;A7;2008;2011
54470;"Superb 1.8 TSI Comfort Businessline";B;H6;2009;2011
54470;"Superb 1.8 TSI Comfort Businessline";B;H6;2009;2011
54471;"Superb 1.8 TSI Comfort Businessline";B;A7;2009;2011
63636;"Superb 1.8 TSI Active";B;H6;2011;2013
63637;"Superb 1.8 TSI Active";B;A7;2011;2013
63637;"Superb 1.8 TSI Active";B;A7;2011;2013
63638;"Superb 1.8 TSI Active Businessline";B;H6;2011;2013
63639;"Superb 1.8 TSI Active Businessline";B;A7;2011;2013
49501;"Superb 1.8 TSI Ambition";B;H6;2008;2013
49501;"Superb 1.8 TSI Ambition";B;H6;2008;2013
50983;"Superb 1.8 TSI Ambition";B;A7;2008;2013
54451;"Superb 1.8 TSI Ambition Businessline";B;H6;2009;2013
54452;"Superb 1.8 TSI Ambition Businessline";B;A7;2009;2013
54452;"Superb 1.8 TSI Ambition Businessline";B;A7;2009;2013
69070;"Superb 1.8 TSI Tour Businessline";B;H6;2012;2012
69071;"Superb 1.8 TSI Tour Businessline";B;A7;2012;2012
49502;"Superb 1.8 TSI Elegance";B;H6;2008;2013
49502;"Superb 1.8 TSI Elegance";B;H6;2008;2013
50984;"Superb 1.8 TSI Elegance";B;A7;2008;2013
54453;"Superb 1.8 TSI Elegance Businessline";B;H6;2009;2013
54454;"Superb 1.8 TSI Elegance Businessline";B;A7;2009;2013
54454;"Superb 1.8 TSI Elegance Businessline";B;A7;2009;2013
50991;"Superb 1.8 TSI 4x4 Ambition";B;H6;2009;2013
54455;"Superb 1.8 TSI 4x4 Ambition Businessline";B;H6;2009;2013
63449;"Superb 1.8 TSI 4x4 Alldrive";B;H6;2011;2012
63449;"Superb 1.8 TSI 4x4 Alldrive";B;H6;2011;2012
50992;"Superb 1.8 TSI 4x4 Elegance";B;H6;2009;2013
54456;"Superb 1.8 TSI 4x4 Elegance Businessline";B;H6;2009;2013
56990;"Superb 2.0 TSI Ambition";B;A6;2010;2013
56990;"Superb 2.0 TSI Ambition";B;A6;2010;2013
56991;"Superb 2.0 TSI Ambition Businessline";B;A6;2010;2013
56992;"Superb 2.0 TSI Elegance";B;A6;2010;2013
56993;"Superb 2.0 TSI Elegance Businessline";B;A6;2010;2013
56993;"Superb 2.0 TSI Elegance Businessline";B;A6;2010;2013
63656;"Superb 2.0 TSI Laurin &amp; Klement";B;A6;2011;2013
49503;"Superb 3.6 V6 FSI 4x4 Elegance";B;A6;2008;2013
54457;"Superb 3.6 V6 FSI 4x4 Elegance Businessline";B;A6;2009;2013
54457;"Superb 3.6 V6 FSI 4x4 Elegance Businessline";B;A6;2009;2013
63657;"Superb 3.6 V6 FSI 4x4 Laurin &amp; Klement";B;A6;2011;2013
59244;"Superb 1.6 TDI Greenline Comfort";D;H5;2011;2011
59245;"Superb 1.6 TDI Greenline Comfort Businessline";D;H5;2011;2011
59245;"Superb 1.6 TDI Greenline Comfort Businessline";D;H5;2011;2011
63640;"Superb 1.6 TDI Greenline Active";D;H5;2011;2013
63641;"Superb 1.6 TDI Greenline Active Businessline";D;H5;2011;2013
59246;"Superb 1.6 TDI Greenline Ambition";D;H5;2011;2013
59246;"Superb 1.6 TDI Greenline Ambition";D;H5;2011;2013
59247;"Superb 1.6 TDI Greenline Ambition Businessline";D;H5;2011;2013
69074;"Superb 1.6 TDI Greenline Tour Businessline";D;H5;2012;2012
49504;"Superb 1.9 TDI Comfort";D;H5;2008;2011
49504;"Superb 1.9 TDI Comfort";D;H5;2008;2011
54472;"Superb 1.9 TDI Comfort Businessline";D;H5;2009;2011
49505;"Superb 1.9 TDI Greenline";D;H5;2008;2011
54473;"Superb 1.9 TDI Greenline Businessline";D;H5;2009;2011
54473;"Superb 1.9 TDI Greenline Businessline";D;H5;2009;2011
49506;"Superb 1.9 TDI Ambition";D;H5;2008;2011
54458;"Superb 1.9 TDI Ambition Businessline";D;H5;2009;2011
49507;"Superb 2.0 TDI 140pk Comfort";D;H6;2008;2010
49507;"Superb 2.0 TDI 140pk Comfort";D;H6;2008;2010
49508;"Superb 2.0 TDI 140pk Comfort";D;A6;2008;2010
54474;"Superb 2.0 TDI 140pk Comfort Businessline";D;H6;2009;2010
54475;"Superb 2.0 TDI 140pk Comfort Businessline";D;A6;2009;2010
54475;"Superb 2.0 TDI 140pk Comfort Businessline";D;A6;2009;2010
49510;"Superb 2.0 TDI 140pk Ambition";D;H6;2008;2010
49509;"Superb 2.0 TDI 140pk Ambition";D;A6;2008;2010
54459;"Superb 2.0 TDI 140pk Ambition Businessline";D;H6;2009;2010
54459;"Superb 2.0 TDI 140pk Ambition Businessline";D;H6;2009;2010
54460;"Superb 2.0 TDI 140pk Ambition Businessline";D;A6;2009;2010
49512;"Superb 2.0 TDI 140pk Elegance";D;H6;2008;2010
49511;"Superb 2.0 TDI 140pk Elegance";D;A6;2008;2010
49511;"Superb 2.0 TDI 140pk Elegance";D;A6;2008;2010
54461;"Superb 2.0 TDI 140pk Elegance Businessline";D;H6;2009;2010
54462;"Superb 2.0 TDI 140pk Elegance Businessline";D;A6;2009;2010
59805;"Superb 2.0 TDI 140pk Comfort";D;H6;2010;2011
59805;"Superb 2.0 TDI 140pk Comfort";D;H6;2010;2011
59806;"Superb 2.0 TDI 140pk Comfort";D;A6;2010;2011
59807;"Superb 2.0 TDI 140pk Comfort Businessline";D;H6;2010;2011
59808;"Superb 2.0 TDI 140pk Comfort Businessline";D;A6;2010;2011
59808;"Superb 2.0 TDI 140pk Comfort Businessline";D;A6;2010;2011
63642;"Superb 2.0 TDI 140pk Active";D;H6;2011;2012
63643;"Superb 2.0 TDI 140pk Active";D;A6;2011;2013
63644;"Superb 2.0 TDI 140pk Active Businessline";D;H6;2011;2012
63644;"Superb 2.0 TDI 140pk Active Businessline";D;H6;2011;2012
63645;"Superb 2.0 TDI 140pk Active Businessline";D;A6;2011;2013
