id;pikk_mudel;kytus;kaigukast;alates;kuni
73742;"Superb 1.4 TSI Greentech Active";B;H6;2013;heden
73746;"Superb 1.4 TSI Greentech Active Businessline";B;H6;2013;heden
73749;"Superb 1.4 TSI Greentech Ambition";B;H6;2013;heden
73749;"Superb 1.4 TSI Greentech Ambition";B;H6;2013;heden
73748;"Superb 1.4 TSI Greentech Ambition Businessline";B;H6;2013;heden
75065;"Superb 1.4 TSI Greentech Sprint Pro";B;H6;2013;heden
73755;"Superb 1.8 TSI Active";B;H6;2013;heden
73755;"Superb 1.8 TSI Active";B;H6;2013;heden
73754;"Superb 1.8 TSI Active";B;A7;2013;heden
73753;"Superb 1.8 TSI Active Businessline";B;H6;2013;heden
73752;"Superb 1.8 TSI Active Businessline";B;A7;2013;heden
73752;"Superb 1.8 TSI Active Businessline";B;A7;2013;heden
73759;"Superb 1.8 TSI Ambition";B;H6;2013;heden
73758;"Superb 1.8 TSI Ambition";B;A7;2013;heden
73757;"Superb 1.8 TSI Ambition Businessline";B;H6;2013;heden
73757;"Superb 1.8 TSI Ambition Businessline";B;H6;2013;heden
73756;"Superb 1.8 TSI Ambition Businessline";B;A7;2013;heden
75066;"Superb 1.8 TSI Sprint Pro";B;H6;2013;heden
75067;"Superb 1.8 TSI Sprint Pro";B;A7;2013;heden
75067;"Superb 1.8 TSI Sprint Pro";B;A7;2013;heden
73763;"Superb 1.8 TSI Elegance";B;H6;2013;heden
73762;"Superb 1.8 TSI Elegance";B;A7;2013;heden
73761;"Superb 1.8 TSI Elegance Businessline";B;H6;2013;heden
73761;"Superb 1.8 TSI Elegance Businessline";B;H6;2013;heden
73760;"Superb 1.8 TSI Elegance Businessline";B;A7;2013;heden
73767;"Superb 1.8 TSI 4x4 Ambition";B;H6;2013;heden
73766;"Superb 1.8 TSI 4x4 Ambition Businessline";B;H6;2013;heden
73766;"Superb 1.8 TSI 4x4 Ambition Businessline";B;H6;2013;heden
75068;"Superb 1.8 TSI 4x4 Sprint Pro";B;H6;2013;heden
73765;"Superb 1.8 TSI 4x4 Elegance";B;H6;2013;heden
73764;"Superb 1.8 TSI 4x4 Elegance Businessline";B;H6;2013;heden
73764;"Superb 1.8 TSI 4x4 Elegance Businessline";B;H6;2013;heden
73788;"Superb 2.0 TSI Ambition";B;A6;2013;heden
73787;"Superb 2.0 TSI Ambition Businessline";B;A6;2013;heden
75069;"Superb 2.0 TSI Sprint Pro";B;A6;2013;heden
75069;"Superb 2.0 TSI Sprint Pro";B;A6;2013;heden
73786;"Superb 2.0 TSI Elegance";B;A6;2013;heden
73785;"Superb 2.0 TSI Elegance Businessline";B;A6;2013;heden
73784;"Superb 2.0 TSI Laurin &amp; Klement";B;A6;2013;heden
73784;"Superb 2.0 TSI Laurin &amp; Klement";B;A6;2013;heden
73791;"Superb 3.6 V6 FSI 4x4 Elegance";B;A6;2013;heden
73790;"Superb 3.6 V6 FSI 4x4 Elegance Businessline";B;A6;2013;heden
73789;"Superb 3.6 V6 FSI 4x4 Laurin &amp; Klement";B;A6;2013;heden
73789;"Superb 3.6 V6 FSI 4x4 Laurin &amp; Klement";B;A6;2013;heden
73803;"Superb 1.6 TDI Greenline Active";D;H6;2013;heden
73802;"Superb 1.6 TDI Greenline Active Businessline";D;H6;2013;heden
73801;"Superb 1.6 TDI Greenline Ambition";D;H6;2013;heden
73801;"Superb 1.6 TDI Greenline Ambition";D;H6;2013;heden
73800;"Superb 1.6 TDI Greenline Ambition Businessline";D;H6;2013;heden
75070;"Superb 1.6 TDI Greenline Sprint Pro";D;H6;2013;heden
73811;"Superb 2.0 TDI 140pk Greentech Active";D;H6;2013;heden
73811;"Superb 2.0 TDI 140pk Greentech Active";D;H6;2013;heden
73810;"Superb 2.0 TDI 140pk Greentech Active";D;A6;2013;heden
73809;"Superb 2.0 TDI 140pk Greentech Active Businessline";D;H6;2013;heden
73808;"Superb 2.0 TDI 140pk Greentech Active Businessline";D;A6;2013;heden
73808;"Superb 2.0 TDI 140pk Greentech Active Businessline";D;A6;2013;heden
73819;"Superb 2.0 TDI 140pk Greentech Ambition";D;H6;2013;heden
73818;"Superb 2.0 TDI 140pk Greentech Ambition";D;A6;2013;heden
73817;"Superb 2.0 TDI 140pk Greentech Ambition Businessli";D;H6;2013;heden
73817;"Superb 2.0 TDI 140pk Greentech Ambition Businessli";D;H6;2013;heden
73816;"Superb 2.0 TDI 140pk Greentech Ambition Businessli";D;A6;2013;heden
75071;"Superb 2.0 TDI 140pk Greentech Sprint Pro";D;H6;2013;heden
75072;"Superb 2.0 TDI 140pk Greentech Sprint Pro";D;A6;2013;heden
75072;"Superb 2.0 TDI 140pk Greentech Sprint Pro";D;A6;2013;heden
73825;"Superb 2.0 TDI 140pk Elegance";D;A6;2013;heden
73824;"Superb 2.0 TDI 140pk Elegance Businessline";D;A6;2013;heden
73831;"Superb 2.0 TDI 140pk 4x4 Ambition";D;H6;2013;heden
73831;"Superb 2.0 TDI 140pk 4x4 Ambition";D;H6;2013;heden
73830;"Superb 2.0 TDI 140pk 4x4 Ambition Businessline";D;H6;2013;heden
75073;"Superb 2.0 TDI 140pk 4x4 Sprint Pro";D;H6;2013;heden
73829;"Superb 2.0 TDI 140pk 4x4 Elegance";D;H6;2013;heden
73829;"Superb 2.0 TDI 140pk 4x4 Elegance";D;H6;2013;heden
73828;"Superb 2.0 TDI 140pk 4x4 Elegance Businessline";D;H6;2013;heden
73844;"Superb 2.0 TDI 170pk Ambition";D;H6;2013;heden
73843;"Superb 2.0 TDI 170pk Ambition";D;A6;2013;heden
73843;"Superb 2.0 TDI 170pk Ambition";D;A6;2013;heden
73842;"Superb 2.0 TDI 170pk Ambition Businessline";D;H6;2013;heden
73841;"Superb 2.0 TDI 170pk Ambition Businessline";D;A6;2013;heden
75074;"Superb 2.0 TDI 170pk Sprint Pro";D;H6;2013;heden
75074;"Superb 2.0 TDI 170pk Sprint Pro";D;H6;2013;heden
75075;"Superb 2.0 TDI 170pk Sprint Pro";D;A6;2013;heden
73840;"Superb 2.0 TDI 170pk Elegance";D;H6;2013;heden
73839;"Superb 2.0 TDI 170pk Elegance";D;A6;2013;heden
73839;"Superb 2.0 TDI 170pk Elegance";D;A6;2013;heden
73838;"Superb 2.0 TDI 170pk Elegance Businessline";D;H6;2013;heden
73837;"Superb 2.0 TDI 170pk Elegance Businessline";D;A6;2013;heden
73836;"Superb 2.0 TDI 170pk Laurin &amp; Klement";D;A6;2013;heden
73836;"Superb 2.0 TDI 170pk Laurin &amp; Klement";D;A6;2013;heden
73857;"Superb 2.0 TDI 170pk 4x4 Ambition";D;A6;2013;2014
73856;"Superb 2.0 TDI 170pk 4x4 Ambition Businessline";D;A6;2013;2014
75076;"Superb 2.0 TDI 170pk 4x4 Sprint Pro";D;A6;2013;heden
75076;"Superb 2.0 TDI 170pk 4x4 Sprint Pro";D;A6;2013;heden
73855;"Superb 2.0 TDI 170pk 4x4 Elegance";D;A6;2013;2014
73854;"Superb 2.0 TDI 170pk 4x4 Elegance Businessline";D;A6;2013;2014
