id;pikk_mudel;kytus;kaigukast;alates;kuni
53975;"Yeti 1.2 TSI Active";B;H6;2009;heden
64907;"Yeti 1.2 TSI Active Arctic";B;H6;2012;2012
53983;"Yeti 1.2 TSI Active Plus";B;H6;2009;2011
53983;"Yeti 1.2 TSI Active Plus";B;H6;2009;2011
56956;"Yeti 1.2 TSI Active Plus";B;A7;2010;2011
59624;"Yeti 1.2 TSI Comfort";B;H6;2010;heden
59625;"Yeti 1.2 TSI Comfort";B;A7;2010;heden
59625;"Yeti 1.2 TSI Comfort";B;A7;2010;heden
64909;"Yeti 1.2 TSI Comfort Arctic";B;H6;2012;2012
54971;"Yeti 1.2 TSI Expedition";B;H6;2010;2011
56957;"Yeti 1.2 TSI Expedition";B;A7;2010;2011
56957;"Yeti 1.2 TSI Expedition";B;A7;2010;2011
53984;"Yeti 1.2 TSI Ambition";B;H6;2009;heden
56958;"Yeti 1.2 TSI Ambition";B;A7;2010;heden
64908;"Yeti 1.2 TSI Ambition Arctic";B;H6;2012;2012
64908;"Yeti 1.2 TSI Ambition Arctic";B;H6;2012;2012
72076;"Yeti 1.2 TSI Adventure";B;H6;2013;heden
72077;"Yeti 1.2 TSI Adventure";B;A7;2013;heden
62161;"Yeti 1.2 TSI Tour";B;H6;2011;2011
62161;"Yeti 1.2 TSI Tour";B;H6;2011;2011
62162;"Yeti 1.2 TSI Tour";B;A7;2011;2011
68652;"Yeti 1.2 TSI Tour";B;H6;2012;2012
53985;"Yeti 1.2 TSI Elegance";B;H6;2009;heden
53985;"Yeti 1.2 TSI Elegance";B;H6;2009;heden
56959;"Yeti 1.2 TSI Elegance";B;A7;2010;heden
56960;"Yeti 1.4 TSI Active Plus";B;H6;2010;2011
59626;"Yeti 1.4 TSI Comfort";B;H6;2010;2012
59626;"Yeti 1.4 TSI Comfort";B;H6;2010;2012
56961;"Yeti 1.4 TSI Expedition";B;H6;2010;2011
56962;"Yeti 1.4 TSI Ambition";B;H6;2010;2012
62163;"Yeti 1.4 TSI Tour";B;H6;2011;2011
62163;"Yeti 1.4 TSI Tour";B;H6;2011;2011
56963;"Yeti 1.4 TSI Elegance";B;H6;2010;2012
64109;"Yeti 1.4 TSI Greentech Comfort";B;H6;2012;heden
64110;"Yeti 1.4 TSI Greentech Ambition";B;H6;2012;heden
64110;"Yeti 1.4 TSI Greentech Ambition";B;H6;2012;heden
68653;"Yeti 1.4 TSI Greentech Tour";B;H6;2012;2012
53978;"Yeti 1.8 TSI 4x4 Active Plus";B;H6;2009;2011
59627;"Yeti 1.8 TSI 4x4 Comfort";B;H6;2010;heden
59627;"Yeti 1.8 TSI 4x4 Comfort";B;H6;2010;heden
54972;"Yeti 1.8 TSI 4x4 Expedition";B;H6;2010;2011
53986;"Yeti 1.8 TSI 4x4 Ambition";B;H6;2009;heden
63440;"Yeti 1.8 TSI 4x4 Alldrive";B;H6;2011;2012
63440;"Yeti 1.8 TSI 4x4 Alldrive";B;H6;2011;2012
62164;"Yeti 1.8 TSI 4x4 Tour";B;H6;2011;2011
53987;"Yeti 1.8 TSI 4x4 Elegance";B;H6;2009;heden
59629;"Yeti 1.6 TDI Greenline Comfort";D;H5;2010;heden
59629;"Yeti 1.6 TDI Greenline Comfort";D;H5;2010;heden
59630;"Yeti 1.6 TDI Greenline Ambition";D;H5;2010;heden
53982;"Yeti 2.0 TDI 110pk Active Plus";D;H5;2009;2011
54973;"Yeti 2.0 TDI 110pk Expedition";D;H5;2010;2010
54973;"Yeti 2.0 TDI 110pk Expedition";D;H5;2010;2010
53988;"Yeti 2.0 TDI 110pk Ambition";D;H5;2009;2010
53989;"Yeti 2.0 TDI 110pk Elegance";D;H5;2009;2010
53981;"Yeti 2.0 TDI 110pk 4x4 Active Plus";D;H6;2009;2011
53981;"Yeti 2.0 TDI 110pk 4x4 Active Plus";D;H6;2009;2011
59628;"Yeti 2.0 TDI 110pk 4x4 Comfort";D;H6;2010;heden
54974;"Yeti 2.0 TDI 110pk 4x4 Expedition";D;H6;2010;2011
53990;"Yeti 2.0 TDI 110pk 4x4 Ambition";D;H6;2009;heden
53990;"Yeti 2.0 TDI 110pk 4x4 Ambition";D;H6;2009;heden
63441;"Yeti 2.0 TDI 110pk 4x4 Alldrive";D;H6;2011;2012
62165;"Yeti 2.0 TDI 110pk 4x4 Tour";D;H6;2011;2011
53991;"Yeti 2.0 TDI 110pk 4x4 Elegance";D;H6;2009;heden
53991;"Yeti 2.0 TDI 110pk 4x4 Elegance";D;H6;2009;heden
63625;"Yeti 2.0 TDI Greentech 140pk Comfort";D;H6;2011;heden
63624;"Yeti 2.0 TDI Greentech 140pk Ambition";D;H6;2011;heden
53979;"Yeti 2.0 TDI 140pk 4x4 Ambition";D;H6;2009;heden
53979;"Yeti 2.0 TDI 140pk 4x4 Ambition";D;H6;2009;heden
56964;"Yeti 2.0 TDI 140pk 4x4 Ambition";D;A6;2010;heden
63442;"Yeti 2.0 TDI 140pk 4x4 Alldrive";D;H6;2011;2012
63443;"Yeti 2.0 TDI 140pk 4x4 Alldrive";D;A6;2011;2012
63443;"Yeti 2.0 TDI 140pk 4x4 Alldrive";D;A6;2011;2012
62166;"Yeti 2.0 TDI 140pk 4x4 Tour";D;H6;2011;2011
62167;"Yeti 2.0 TDI 140pk 4x4 Tour";D;A6;2011;2011
53992;"Yeti 2.0 TDI 140pk 4x4 Elegance";D;H6;2009;heden
53992;"Yeti 2.0 TDI 140pk 4x4 Elegance";D;H6;2009;heden
56965;"Yeti 2.0 TDI 140pk 4x4 Elegance";D;A6;2010;heden
53980;"Yeti 2.0 TDI 170pk 4x4 Ambition";D;H6;2009;heden
63444;"Yeti 2.0 TDI 170pk 4x4 Alldrive";D;H6;2011;2012
63444;"Yeti 2.0 TDI 170pk 4x4 Alldrive";D;H6;2011;2012
62168;"Yeti 2.0 TDI 170pk 4x4 Tour";D;H6;2011;2011
53993;"Yeti 2.0 TDI 170pk 4x4 Elegance";D;H6;2009;heden
