id;pikk_mudel;kytus;kaigukast;alates;kuni
25967;"city-coupe smart &amp; pure 45pk";B;H6;2002;2003
28364;"city-coupe smart &amp; pure 50pk";B;H6;2003;2004
28365;"city-coupe smart &amp; pure 50pk";B;A6;2003;2004
28365;"city-coupe smart &amp; pure 50pk";B;A6;2003;2004
25966;"city-coupe smart &amp; pure 55pk";B;H6;2002;2003
25965;"city-coupe smart &amp; pulse 62pk";B;A6;2002;2003
25964;"city-coupe smart &amp; passion 55pk";B;A6;2002;2003
25964;"city-coupe smart &amp; passion 55pk";B;A6;2002;2003
28366;"city-coupe smart &amp; pure 61pk";B;H6;2003;2004
28367;"city-coupe smart &amp; pure 61pk";B;A6;2003;2004
28369;"city-coupe smart &amp; pulse 61pk";B;H6;2003;2004
28369;"city-coupe smart &amp; pulse 61pk";B;H6;2003;2004
28368;"city-coupe smart &amp; pulse 61pk";B;A6;2003;2004
28370;"city-coupe smart &amp; passion 61pk";B;A6;2003;2004
29135;"city-coupe Brabus 75pk";B;A6;2003;2004
29135;"city-coupe Brabus 75pk";B;A6;2003;2004
25971;"city-coupe smart &amp; pure cdi";D;H6;2002;2004
25970;"city-coupe smart &amp; pulse cdi";D;H6;2002;2004
28377;"city-coupe smart &amp; pulse cdi";D;A6;2002;2004
28377;"city-coupe smart &amp; pulse cdi";D;A6;2002;2004
25969;"city-coupe smart &amp; passion cdi";D;A6;2002;2004
