id;pikk_mudel;kytus;kaigukast;alates;kuni
45176;"Actyon A230 2WD Direct";B;H5;2007;2008
43909;"Actyon A230 2WD Dynamic";B;H5;2006;2008
43910;"Actyon A230 2WD Dynamic";B;A4;2006;2009
43910;"Actyon A230 2WD Dynamic";B;A4;2006;2009
43917;"Actyon A230 2WD Sport";B;H5;2006;2008
43918;"Actyon A230 2WD Sport";B;A4;2006;2009
43912;"Actyon A230 4WD Dynamic";B;H5;2006;2009
43912;"Actyon A230 4WD Dynamic";B;H5;2006;2009
43911;"Actyon A230 4WD Dynamic";B;A4;2006;2009
43919;"Actyon A230 4WD Sport";B;H5;2006;2009
43920;"Actyon A230 4WD Sport";B;A4;2006;2009
43920;"Actyon A230 4WD Sport";B;A4;2006;2009
43913;"Actyon A200 Xdi 2WD Dynamic";D;H5;2006;2009
43914;"Actyon A200 Xdi 2WD Dynamic";D;A4;2006;2009
43921;"Actyon A200 Xdi 2WD Sport";D;H5;2006;2009
43921;"Actyon A200 Xdi 2WD Sport";D;H5;2006;2009
43922;"Actyon A200 Xdi 2WD Sport";D;A4;2006;2009
43916;"Actyon A200 Xdi 4WD Dynamic";D;H5;2006;2009
43915;"Actyon A200 Xdi 4WD Dynamic";D;A4;2006;2009
43915;"Actyon A200 Xdi 4WD Dynamic";D;A4;2006;2009
43923;"Actyon A200 Xdi 4WD Sport";D;H5;2006;2009
43924;"Actyon A200 Xdi 4WD Sport";D;A4;2006;2009
43926;"Actyon A200 Xdi 4WD sx";D;H5;2006;2007
43926;"Actyon A200 Xdi 4WD sx";D;H5;2006;2007
43925;"Actyon A200 Xdi 4WD sx";D;A4;2006;2007
