id;pikk_mudel;kytus;kaigukast;alates;kuni
73082;"Korando 2.0 XDi e3 Crystal 2WD";D;H6;2013;heden
73083;"Korando 2.0 XDi e3 Quartz 2WD";D;H6;2013;heden
73084;"Korando 2.0 XDi e3 Sapphire 2WD";D;H6;2013;heden
73084;"Korando 2.0 XDi e3 Sapphire 2WD";D;H6;2013;heden
73085;"Korando 2.0 XDi e3 Quartz 4WD";D;H6;2013;heden
73086;"Korando 2.0 XDi e3 Sapphire 4WD";D;H6;2013;heden
67688;"Korando 2.0 XDi Crystal 2WD";D;H6;2011;heden
67688;"Korando 2.0 XDi Crystal 2WD";D;H6;2011;heden
67697;"Korando 2.0 XDi Quartz 2WD";D;H6;2011;heden
67696;"Korando 2.0 XDi Quartz 2WD";D;A6;2011;heden
67695;"Korando 2.0 XDi Sapphire 2WD";D;H6;2011;heden
67695;"Korando 2.0 XDi Sapphire 2WD";D;H6;2011;heden
67694;"Korando 2.0 XDi Sapphire 2WD";D;A6;2011;heden
67693;"Korando 2.0 XDi Quartz 4WD";D;H6;2011;heden
67692;"Korando 2.0 XDi Quartz 4WD";D;A6;2011;heden
67692;"Korando 2.0 XDi Quartz 4WD";D;A6;2011;heden
67691;"Korando 2.0 XDi Sapphire 4WD";D;H6;2011;heden
67690;"Korando 2.0 XDi Sapphire 4WD";D;A6;2011;heden
