id;pikk_mudel;kytus;kaigukast;alates;kuni
45175;"Rexton RX 270 Xdi Direct";D;H5;2007;2009
42589;"Rexton RJ 270 Xdi";D;H5;2006;2007
42584;"Rexton RX 270 Xdi Dynamic";D;H5;2006;2009
42584;"Rexton RX 270 Xdi Dynamic";D;H5;2006;2009
42586;"Rexton RX 270 Xdi Dynamic";D;A5;2006;2009
42588;"Rexton RX 270 Xdi Sport";D;H5;2006;2009
42587;"Rexton RX 270 Xdi Sport";D;A5;2006;2009
42587;"Rexton RX 270 Xdi Sport";D;A5;2006;2009
51967;"Rexton RX 270 Xdi Dynamic";D;A5;2009;2009
51968;"Rexton RX 270 Xdi Sport";D;A5;2009;2009
45174;"Rexton RX 270 s Xdi XVT";D;A5;2007;2009
45174;"Rexton RX 270 s Xdi XVT";D;A5;2007;2009
