id;pikk_mudel;kytus;kaigukast;alates;kuni
36985;"Forester 2.0 X AWD";B;H5;2005;2008
47117;"Forester 2.0 X AWD Edition";B;H5;2007;2008
47118;"Forester 2.0 X AWD Edition";B;A4;2007;2008
47118;"Forester 2.0 X AWD Edition";B;A4;2007;2008
47197;"Forester 2.0 X AWD Premium Black/Silver";B;H5;2007;2008
47196;"Forester 2.0 X AWD Premium Black/Silver";B;A4;2007;2008
47199;"Forester 2.0 X AWD Premium Executive";B;H5;2007;2008
47199;"Forester 2.0 X AWD Premium Executive";B;H5;2007;2008
47198;"Forester 2.0 X AWD Premium Executive";B;A4;2007;2008
36991;"Forester 2.0 X AWD Comfort";B;H5;2005;2007
36987;"Forester 2.0 X AWD Comfort";B;A4;2005;2007
36987;"Forester 2.0 X AWD Comfort";B;A4;2005;2007
45168;"Forester 2.0 X AWD Comfort Edition";B;H5;2007;2008
45169;"Forester 2.0 X AWD Comfort Edition";B;A4;2007;2008
36993;"Forester 2.0 X AWD Luxury";B;H5;2005;2007
36993;"Forester 2.0 X AWD Luxury";B;H5;2005;2007
36992;"Forester 2.0 X AWD Luxury";B;A4;2005;2007
45170;"Forester 2.0 X AWD Luxury Edition";B;H5;2007;2007
45171;"Forester 2.0 X AWD Luxury Edition";B;A4;2007;2007
45171;"Forester 2.0 X AWD Luxury Edition";B;A4;2007;2007
36989;"Forester 2.5 XT AWD Luxury";B;H5;2005;2007
36988;"Forester 2.5 XT AWD Luxury";B;A4;2005;2007
36995;"Forester 2.5 XT AWD Executive";B;H5;2005;2008
36995;"Forester 2.5 XT AWD Executive";B;H5;2005;2008
36994;"Forester 2.5 XT AWD Executive";B;A4;2005;2008
