id;pikk_mudel;kytus;kaigukast;alates;kuni
50812;"Impreza 1.5R Comfort";B;H5;2008;2012
60271;"Impreza 1.5R Comfort";B;A4;2011;2012
50814;"Impreza 1.5R Luxury";B;H5;2008;2010
50814;"Impreza 1.5R Luxury";B;H5;2008;2010
46888;"Impreza 1.5R AWD";B;H5;2007;2008
46891;"Impreza 1.5R AWD Comfort";B;H5;2007;2008
46892;"Impreza 1.5R AWD Comfort";B;A4;2007;2008
46892;"Impreza 1.5R AWD Comfort";B;A4;2007;2008
46894;"Impreza 1.5R AWD Luxury";B;H5;2007;2012
46893;"Impreza 1.5R AWD Luxury";B;A4;2007;2012
46896;"Impreza 2.0R AWD Luxury";B;H5;2007;2010
46896;"Impreza 2.0R AWD Luxury";B;H5;2007;2010
46895;"Impreza 2.0R AWD Luxury";B;A4;2007;2010
46897;"Impreza 2.0R AWD Sport";B;H5;2007;2012
57557;"Impreza 2.0R AWD Sport";B;A4;2010;2012
57557;"Impreza 2.0R AWD Sport";B;A4;2010;2012
57554;"Impreza 2.0R AWD XV";B;H5;2010;2012
57555;"Impreza 2.0R AWD XV";B;A4;2010;2012
47985;"Impreza 2.5T WRX";B;H6;2007;2008
47985;"Impreza 2.5T WRX";B;H6;2007;2008
47986;"Impreza 2.5T WRX STI";B;H6;2008;2010
47987;"Impreza 2.5T WRX STI Executive";B;H6;2008;2010
51674;"Impreza 2.5T WRX STI Executive Pro";B;H6;2009;2010
51674;"Impreza 2.5T WRX STI Executive Pro";B;H6;2009;2010
51676;"Impreza 2.0D AWD Luxury";D;H6;2009;2011
51675;"Impreza 2.0D AWD Sport";D;H6;2009;2012
57556;"Impreza 2.0D AWD XV";D;H6;2010;2012
57556;"Impreza 2.0D AWD XV";D;H6;2010;2012
