id;pikk_mudel;kytus;kaigukast;alates;kuni
60758;"Legacy 2.0i Corporate Edition";B;H6;2010;2012
60759;"Legacy 2.0i Corporate Edition";B;A1;2010;2012
60491;"Legacy 2.0i Intro";B;H6;2011;2012
60491;"Legacy 2.0i Intro";B;H6;2011;2012
60492;"Legacy 2.0i Intro";B;A1;2011;2012
54477;"Legacy 2.0i Luxury";B;H6;2009;2011
54478;"Legacy 2.0i Luxury";B;A1;2009;2011
54478;"Legacy 2.0i Luxury";B;A1;2009;2011
54479;"Legacy 2.0i Exclusive";B;H6;2009;2011
54480;"Legacy 2.0i Exclusive";B;A1;2009;2011
54481;"Legacy 2.0i Executive";B;H6;2009;2011
54481;"Legacy 2.0i Executive";B;H6;2009;2011
54482;"Legacy 2.0i Executive";B;A1;2009;2011
60495;"Legacy 2.5i Luxury";B;A1;2011;2012
60494;"Legacy 2.5i Executive";B;A1;2011;2012
60494;"Legacy 2.5i Executive";B;A1;2011;2012
54483;"Legacy 2.5i Sport Executive";B;A1;2009;2012
54484;"Legacy 2.0D Luxury";D;H6;2009;2012
54485;"Legacy 2.0D Exclusive";D;H6;2009;2011
54485;"Legacy 2.0D Exclusive";D;H6;2009;2011
54486;"Legacy 2.0D Executive";D;H6;2009;2012
60493;"Legacy 2.0D Sport Executive";D;H6;2011;2012
