id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1305;"Grand Vitara";"5-deurs suv";1998;2005;657;"Grand Vitara";22572
1313;"Grand Vitara";"3-deurs suv";2005;2008;657;"Grand Vitara";28969
1315;"Grand Vitara";"5-deurs suv";2005;2008;657;"Grand Vitara";28978
3046;"Grand Vitara";"5-deurs suv";2008;2010;657;"Grand Vitara";28978
3045;"Grand Vitara";"3-deurs suv";2008;2010;657;"Grand Vitara";28969
3371;"Grand Vitara";"3-deurs suv";2010;2012;657;"Grand Vitara";28969
3372;"Grand Vitara";"5-deurs suv";2010;2012;657;"Grand Vitara";28978
3915;"Grand Vitara";"3-deurs suv";2012;heden;657;"Grand Vitara";133035
3916;"Grand Vitara";"5-deurs suv";2012;heden;657;"Grand Vitara";133033
2770;"Grand Vitara Cabrio";"3-deurs suv";1999;2004;657;"Grand Vitara";23181
1307;"Grand Vitara Metal Top";"3-deurs suv";1999;2005;657;"Grand Vitara";23175
1309;"Grand Vitara XL-7";"5-deurs suv";2001;2004;657;"Grand Vitara";24824
1311;"Grand Vitara XL-7";"5-deurs suv";2004;2006;657;"Grand Vitara";27782
