id;pikk_mudel;kytus;kaigukast;alates;kuni
52105;"Alto 1.0 Base";B;H5;2009;2012
69276;"Alto 1.0 Base";B;H5;2012;2013
71429;"Alto 1.0 Base";B;H5;2013;heden
71429;"Alto 1.0 Base";B;H5;2013;heden
59185;"Alto 1.0 Spirit";B;H5;2010;2012
52108;"Alto 1.0 Comfort";B;H5;2009;2012
69277;"Alto 1.0 Comfort";B;H5;2012;2013
69277;"Alto 1.0 Comfort";B;H5;2012;2013
71430;"Alto 1.0 Comfort";B;H5;2013;heden
52110;"Alto 1.0 Comfort";B;A4;2009;2012
55228;"Alto 1.0 Comfort Plus";B;H5;2010;2012
55228;"Alto 1.0 Comfort Plus";B;H5;2010;2012
55229;"Alto 1.0 Comfort Plus";B;A4;2010;2012
67847;"Alto 1.0 Comfort";B;A4;2012;heden
62421;"Alto 1.0 Cool Comfort";B;H5;2011;2012
62421;"Alto 1.0 Cool Comfort";B;H5;2011;2012
61776;"Alto 1.0 Silver-Line";B;H5;2011;2012
52109;"Alto 1.0 Exclusive";B;H5;2009;2012
69278;"Alto 1.0 Exclusive";B;H5;2012;2013
69278;"Alto 1.0 Exclusive";B;H5;2012;2013
71431;"Alto 1.0 Exclusive";B;H5;2013;heden
52111;"Alto 1.0 Exclusive";B;A4;2009;2012
71432;"Alto 1.0 Cityline";B;H5;2013;2014
71432;"Alto 1.0 Cityline";B;H5;2013;2014
62422;"Alto 1.0 Cool Exclusive";B;H5;2011;2012
