id;pikk_mudel;kytus;kaigukast;alates;kuni
17497;"Grand Vitara 2.0";B;H5;1998;2005
17498;"Grand Vitara 2.0";B;A4;1998;2005
17499;"Grand Vitara 2.5 V6";B;H5;1998;2005
17499;"Grand Vitara 2.5 V6";B;H5;1998;2005
17500;"Grand Vitara 2.5 V6";B;A4;1998;2005
17501;"Grand Vitara 2.0 TD";D;H5;1998;2001
17502;"Grand Vitara 2.0 TD";D;A4;1998;2001
17502;"Grand Vitara 2.0 TD";D;A4;1998;2001
23899;"Grand Vitara 2.0 TDi II";D;H5;2001;2003
23900;"Grand Vitara 2.0 TDi II";D;A4;2001;2002
28883;"Grand Vitara 2.0 TDi 16V";D;H5;2003;2005
28883;"Grand Vitara 2.0 TDi 16V";D;H5;2003;2005
