id;pikk_mudel;kytus;kaigukast;alates;kuni
41653;"SX4 1.5 Base";B;H5;2006;2010
41654;"SX4 1.5 Comfort";B;H5;2006;2010
41655;"SX4 1.6 Comfort";B;H5;2006;2010
41655;"SX4 1.6 Comfort";B;H5;2006;2010
41656;"SX4 1.6 Comfort";B;A4;2006;2010
41658;"SX4 1.6 Exclusive";B;H5;2006;2010
41657;"SX4 1.6 Exclusive";B;A4;2006;2010
41657;"SX4 1.6 Exclusive";B;A4;2006;2010
41659;"SX4 1.6 4Grip Comfort";B;H5;2006;2010
41660;"SX4 1.6 4Grip Exclusive";B;H5;2006;2010
41661;"SX4 1.9 Diesel Base";D;H6;2006;2010
41661;"SX4 1.9 Diesel Base";D;H6;2006;2010
41662;"SX4 1.9 Diesel Comfort";D;H6;2006;2010
41664;"SX4 1.9 Diesel Exclusive";D;H6;2006;2010
41663;"SX4 1.9 Diesel 4Grip Comfort";D;H6;2006;2010
41663;"SX4 1.9 Diesel 4Grip Comfort";D;H6;2006;2010
41665;"SX4 1.9 Diesel 4Grip Exclusive";D;H6;2006;2010
