id;pikk_mudel;kytus;kaigukast;alates;kuni
69345;"Splash 1.0 Base";B;H5;2012;2013
71433;"Splash 1.0 Base";B;H5;2013;heden
69347;"Splash 1.0 Comfort";B;H5;2012;2013
69347;"Splash 1.0 Comfort";B;H5;2012;2013
71434;"Splash 1.0 Comfort";B;H5;2013;heden
69348;"Splash 1.0 Exclusive";B;H5;2012;heden
69352;"Splash 1.2 Comfort";B;H5;2012;2013
69352;"Splash 1.2 Comfort";B;H5;2012;2013
71435;"Splash 1.2 Comfort";B;H5;2013;heden
69351;"Splash 1.2 Comfort";B;A4;2012;heden
69350;"Splash 1.2 Exclusive";B;H5;2012;heden
69350;"Splash 1.2 Exclusive";B;H5;2012;heden
69349;"Splash 1.2 Exclusive";B;A4;2012;heden
