id;pikk_mudel;kytus;kaigukast;alates;kuni
10653;"Vitara Cabrio JA";B;H5;1994;1995
10654;"Vitara Cabrio JX";B;H5;1994;1995
15517;"Vitara Cabrio JX";B;H5;1997;2001
15517;"Vitara Cabrio JX";B;H5;1997;2001
4773;"Vitara Cabrio JLX";B;H5;1988;1994
9350;"Vitara Cabrio JLX";B;A3;1993;1994
10655;"Vitara Cabrio JLX 16V";B;H5;1994;1998
10655;"Vitara Cabrio JLX 16V";B;H5;1994;1998
10656;"Vitara Cabrio JLX 16V";B;A3;1994;1998
15518;"Vitara Cabrio 2.0 16V";B;H5;1997;1998
15519;"Vitara Cabrio 2.0 16V";B;A4;1997;1998
15519;"Vitara Cabrio 2.0 16V";B;A4;1997;1998
