id;pikk_mudel;kytus;kaigukast;alates;kuni
235;"Horizon 1.1 LS";B;H4;1979;1986
40337;"Horizon 1.3 GL";B;H4;1979;1981
236;"Horizon 1.3 LS";B;H4;1982;1985
236;"Horizon 1.3 LS";B;H4;1982;1985
40336;"Horizon 1.3 GL";B;H4;1981;1982
40340;"Horizon 1.5 LS";B;A3;1982;1984
40338;"Horizon 1.5 S";B;H5;1979;1981
40338;"Horizon 1.5 S";B;H5;1979;1981
237;"Horizon 1.5 GL";B;H5;1979;1985
238;"Horizon 1.5 GL";B;A3;1979;1985
239;"Horizon 1.5 GLS";B;H5;1979;1985
239;"Horizon 1.5 GLS";B;H5;1979;1985
240;"Horizon 1.5 GLS";B;A3;1979;1985
40339;"Horizon 1.5 EX";B;H5;1981;1982
40341;"Horizon 1.5 SX";B;A3;1979;1982
40341;"Horizon 1.5 SX";B;A3;1979;1982
491;"Horizon 1.6 Premium";B;H5;1982;1985
492;"Horizon 1.9 LD";D;H4;1982;1985
493;"Horizon 1.9 GLD";D;H5;1982;1985
493;"Horizon 1.9 GLD";D;H5;1982;1985
