id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1570;Celica;"3-deurs coupe";1990;1994;686;Celica;19708
1574;Celica;"3-deurs coupe";1994;1999;686;Celica;20899
1578;Celica;"3-deurs coupe";1999;2002;686;Celica;23188
1580;Celica;"3-deurs coupe";2002;2005;686;Celica;25606
1572;"Celica Convertible";"2-deurs cabriolet";1991;1994;686;Celica;20029
1576;"Celica Convertible";"2-deurs cabriolet";1995;1999;686;Celica;21240
1550;"Celica Coupe";"2-deurs coupe";1980;1981;686;Celica;0
1554;"Celica Coupe";"2-deurs coupe";1981;1983;686;Celica;0
1559;"Celica Coupe";"2-deurs coupe";1983;1985;686;Celica;0
1563;"Celica Coupe";"2-deurs coupe";1985;1990;686;Celica;0
1552;"Celica Liftback";"3-deurs coupe";1980;1981;686;Celica;0
1556;"Celica Liftback";"3-deurs coupe";1981;1983;686;Celica;0
1561;"Celica Liftback";"3-deurs coupe";1983;1985;686;Celica;0
1568;"Celica Liftback";"3-deurs coupe";1985;1990;686;Celica;0
1565;"Celica Liftback";"3-deurs hatchback";1985;1990;686;Celica;0
