id;pikk_mudel;kytus;kaigukast;alates;kuni
52040;"Auris 1.3 16v VVT-i Access";B;H6;2009;2010
52041;"Auris 1.3 16v VVT-i Comfort";B;H6;2009;2010
52042;"Auris 1.3 16v VVT-i Aspiration";B;H6;2009;2010
52042;"Auris 1.3 16v VVT-i Aspiration";B;H6;2009;2010
44410;"Auris 1.4 16v VVT-i";B;H5;2007;2009
44426;"Auris 1.4 16v VVT-i Terra";B;H5;2007;2009
44431;"Auris 1.4 16v VVT-i Sol";B;H5;2007;2009
44431;"Auris 1.4 16v VVT-i Sol";B;H5;2007;2009
44412;"Auris 1.6 16v VVT-i Terra";B;H5;2007;2009
44427;"Auris 1.6 16v VVT-i Sol";B;H5;2007;2009
44413;"Auris 1.6 16v VVT-i Sol";B;A5;2007;2009
44413;"Auris 1.6 16v VVT-i Sol";B;A5;2007;2009
47802;"Auris 1.6 16v VVT-i Dynamic";B;H5;2008;2009
47801;"Auris 1.6 16v VVT-i Dynamic";B;A5;2008;2009
44434;"Auris 1.6 16v VVT-i Luna";B;H5;2007;2009
44434;"Auris 1.6 16v VVT-i Luna";B;H5;2007;2009
44433;"Auris 1.6 16v VVT-i Luna";B;A5;2007;2009
55220;"Auris 1.6 16v VVT-i Comfort";B;H6;2010;2010
55221;"Auris 1.6 16v VVT-i Comfort";B;A6;2010;2010
55221;"Auris 1.6 16v VVT-i Comfort";B;A6;2010;2010
52043;"Auris 1.6 16v VVT-i Aspiration";B;H6;2009;2010
52044;"Auris 1.6 16v VVT-i Aspiration";B;A6;2009;2010
55222;"Auris 1.6 16v VVT-i Dynamic";B;H6;2010;2010
55222;"Auris 1.6 16v VVT-i Dynamic";B;H6;2010;2010
55223;"Auris 1.6 16v VVT-i Dynamic";B;A6;2010;2010
52045;"Auris 1.8 16v VVT-i Aspiration";B;H6;2009;2010
44414;"Auris 1.4 D-4D Terra";D;H5;2007;2008
44414;"Auris 1.4 D-4D Terra";D;H5;2007;2008
44429;"Auris 1.4 D-4D Sol";D;H5;2007;2008
44415;"Auris 1.4 D-4D Sol";D;A5;2007;2008
52046;"Auris 1.4 D-4D-F Comfort";D;H6;2009;2010
52046;"Auris 1.4 D-4D-F Comfort";D;H6;2009;2010
52047;"Auris 1.4 D-4D-F Aspiration";D;H6;2009;2010
52048;"Auris 1.4 D-4D-F Aspiration";D;A6;2009;2010
48851;"Auris 2.0 D-4D-F Terra";D;H6;2008;2009
48851;"Auris 2.0 D-4D-F Terra";D;H6;2008;2009
44416;"Auris 2.0 D-4D-F Sol";D;H6;2007;2009
52049;"Auris 2.0 D-4D-F Aspiration";D;H6;2009;2010
47800;"Auris 2.0 D-4D-F Dynamic";D;H6;2008;2009
47800;"Auris 2.0 D-4D-F Dynamic";D;H6;2008;2009
44437;"Auris 2.0 D-4D-F Luna";D;H6;2007;2009
44417;"Auris 2.2 D-4D D-CAT Luna";D;H6;2007;2008
49153;"Auris 2.2 D-4D D-CAT GT180";D;H6;2008;2010
49153;"Auris 2.2 D-4D D-CAT GT180";D;H6;2008;2010
44439;"Auris 2.2 D-4D D-CAT Executive";D;H6;2007;2008
