id;pikk_mudel;kytus;kaigukast;alates;kuni
28001;"Avensis Wagon 1.8 16v VVT-i Linea Terra";B;H5;2003;2006
28011;"Avensis Wagon 1.8 16v VVT-i Linea Terra";B;A4;2003;2006
28023;"Avensis Wagon 1.8 16v VVT-i Linea Sol";B;H5;2003;2006
28023;"Avensis Wagon 1.8 16v VVT-i Linea Sol";B;H5;2003;2006
28022;"Avensis Wagon 1.8 16v VVT-i Linea Sol";B;A4;2003;2006
28025;"Avensis Wagon 1.8 16v VVT-i Linea Luna";B;H5;2003;2006
28024;"Avensis Wagon 1.8 16v VVT-i Linea Luna";B;A4;2003;2006
28024;"Avensis Wagon 1.8 16v VVT-i Linea Luna";B;A4;2003;2006
28041;"Avensis Wagon 2.0 16v VVT-i D4 Linea Sol";B;H5;2003;2006
28040;"Avensis Wagon 2.0 16v VVT-i D4 Linea Sol";B;A4;2003;2006
28029;"Avensis Wagon 2.0 16v VVT-i D4 Linea Luna";B;H5;2003;2006
28029;"Avensis Wagon 2.0 16v VVT-i D4 Linea Luna";B;H5;2003;2006
28028;"Avensis Wagon 2.0 16v VVT-i D4 Linea Luna";B;A4;2003;2006
28039;"Avensis Wagon 2.0 16v VVT-i D4 Executive";B;H5;2003;2006
28038;"Avensis Wagon 2.0 16v VVT-i D4 Executive";B;A4;2003;2006
28038;"Avensis Wagon 2.0 16v VVT-i D4 Executive";B;A4;2003;2006
29294;"Avensis Wagon 2.4 16v VVT-i D4 Linea Sol";B;A5;2003;2006
29293;"Avensis Wagon 2.4 16v VVT-i D4 Executive";B;A5;2003;2006
28044;"Avensis Wagon 2.0 D-4D Linea Terra";D;H5;2003;2006
28044;"Avensis Wagon 2.0 D-4D Linea Terra";D;H5;2003;2006
28052;"Avensis Wagon 2.0 D-4D Linea Sol";D;H5;2003;2006
28053;"Avensis Wagon 2.0 D-4D Linea Luna";D;H5;2003;2006
28051;"Avensis Wagon 2.0 D-4D Executive";D;H5;2003;2006
28051;"Avensis Wagon 2.0 D-4D Executive";D;H5;2003;2006
35875;"Avensis Wagon 2.2 D-4D Linea Luna";D;H6;2005;2006
35874;"Avensis Wagon 2.2 D-4D Executive";D;H6;2005;2006
35881;"Avensis Wagon 2.2 D-4D D-CAT Linea Luna";D;H6;2005;2006
35881;"Avensis Wagon 2.2 D-4D D-CAT Linea Luna";D;H6;2005;2006
35880;"Avensis Wagon 2.2 D-4D D-CAT Executive";D;H6;2005;2006
