id;pikk_mudel;kytus;kaigukast;alates;kuni
9357;"Carina E Stationwagon 1.6i";B;H5;1993;1994
9358;"Carina E Stationwagon 1.6 XLi";B;H5;1993;1995
12206;"Carina E Stationwagon 1.6i Distinction";B;H5;1995;1996
12206;"Carina E Stationwagon 1.6i Distinction";B;H5;1995;1996
12207;"Carina E Stationwagon 1.6 XLi";B;H5;1995;1996
12208;"Carina E Stationwagon 1.6 GLi";B;H5;1995;1996
12209;"Carina E Stationwagon 1.8 GLi";B;H5;1995;1996
12209;"Carina E Stationwagon 1.8 GLi";B;H5;1995;1996
12210;"Carina E Stationwagon 1.8 GTSi";B;H5;1995;1996
9359;"Carina E Stationwagon 2.0 GLi";B;H5;1993;1995
12211;"Carina E Stationwagon 2.0 GTSi";B;H5;1995;1996
12211;"Carina E Stationwagon 2.0 GTSi";B;H5;1995;1996
12212;"Carina E Stationwagon 2.0 GTSi";B;A4;1995;1996
12213;"Carina E Stationwagon 2.0 D Distinction";D;H5;1995;1996
9360;"Carina E Stationwagon 2.0 D XL";D;H5;1993;1996
9360;"Carina E Stationwagon 2.0 D XL";D;H5;1993;1996
12214;"Carina E Stationwagon 2.0 D GL";D;H5;1995;1996
