id;pikk_mudel;kytus;kaigukast;alates;kuni
25101;"Corolla Verso 1.6 16v VVT-i Linea Terra";B;H5;2002;2004
30874;"Corolla Verso 1.6 16v VVT-i Linea Luna";B;H5;2004;2004
25107;"Corolla Verso 1.6 16v VVT-i Linea Sol";B;H5;2002;2004
25107;"Corolla Verso 1.6 16v VVT-i Linea Sol";B;H5;2002;2004
25103;"Corolla Verso 1.8 16v VVT-i Linea Terra";B;H5;2002;2004
25109;"Corolla Verso 1.8 16v VVT-i Linea Sol";B;H5;2002;2004
25108;"Corolla Verso 1.8 16v VVT-i Linea Sol";B;A4;2002;2004
25108;"Corolla Verso 1.8 16v VVT-i Linea Sol";B;A4;2002;2004
25105;"Corolla Verso 2.0 D4-D 90 Linea Terra";D;H5;2002;2004
30876;"Corolla Verso 2.0 D4-D 90 Linea Luna";D;H5;2004;2004
25106;"Corolla Verso 2.0 D4-D 90 Linea Sol";D;H5;2002;2004
25106;"Corolla Verso 2.0 D4-D 90 Linea Sol";D;H5;2002;2004
