id;pikk_mudel;kytus;kaigukast;alates;kuni
4161;"Corolla 1.3 XL";B;A3;1987;1991
4162;"Corolla 1.3 XL";B;H5;1987;1990
6675;"Corolla 1.3 XLi";B;H5;1990;1992
6675;"Corolla 1.3 XLi";B;H5;1990;1992
7479;"Corolla 1.3 XLi";B;A3;1991;1992
4163;"Corolla 1.6 XL";B;H5;1987;1990
5919;"Corolla 1.6 XL 4WD";B;H5;1989;1990
5919;"Corolla 1.6 XL 4WD";B;H5;1989;1990
6676;"Corolla 1.6 XLi";B;H5;1990;1992
4164;"Corolla 1.8 D XL";D;H5;1987;1990
6677;"Corolla 1.8 D XL";D;H5;1990;1992
6677;"Corolla 1.8 D XL";D;H5;1990;1992
