id;pikk_mudel;kytus;kaigukast;alates;kuni
74756;"Proace L1H1 1.6D 90 Comfort";D;H5;2013;heden
74762;"Proace L1H1 1.6D 90 Aspiration";D;H5;2013;heden
74759;"Proace L1H1 2.0D 128 Comfort";D;H6;2013;heden
74759;"Proace L1H1 2.0D 128 Comfort";D;H6;2013;heden
74763;"Proace L1H1 2.0D 128 Aspiration";D;H6;2013;heden
74760;"Proace L1H1 2.0D 163 Aspiration";D;H6;2013;heden
74761;"Proace L1H1 2.0D 163 Aspiration";D;A6;2013;heden
74761;"Proace L1H1 2.0D 163 Aspiration";D;A6;2013;heden
74769;"Proace L2H1 1.6D 90 Comfort";D;H5;2013;heden
74768;"Proace L2H1 1.6D 90 Aspiration";D;H5;2013;heden
74767;"Proace L2H1 2.0D 128 Comfort";D;H6;2013;heden
74767;"Proace L2H1 2.0D 128 Comfort";D;H6;2013;heden
74766;"Proace L2H1 2.0D 128 Aspiration";D;H6;2013;heden
74765;"Proace L2H1 2.0D 163 Aspiration";D;H6;2013;heden
74764;"Proace L2H1 2.0D 163 Aspiration";D;A6;2013;heden
74764;"Proace L2H1 2.0D 163 Aspiration";D;A6;2013;heden
74772;"Proace L2H2 2.0D 128 Comfort";D;H6;2013;heden
74771;"Proace L2H2 2.0D 128 Aspiration";D;H6;2013;heden
74770;"Proace L2H2 2.0D 163 Aspiration";D;H6;2013;heden
74770;"Proace L2H2 2.0D 163 Aspiration";D;H6;2013;heden
